organisation,tr_id,meeting_count,source_kind,source_type,source_date,source_commissioner,source_text,amendment_number,target_element,target_type,original_text,amended_text,justification,cosine_score,amendment_direction,label,reasoning
(unknown),,0,meeting,commission_meeting,2021-10-21,Margrethe Vestager,"Subject: EU’s digital strategy, plateform regulation, European Data Strategy, Artificial Intelligence",2609,Title VII,title,EU DATABASE FORSTAND-ALONE HIGH-RISKAI SYSTEMS,EU DATABASE FOR AI SYSTEMS,,0.8544,"Broadens the scope of the EU database by removing the restriction to 'stand-alone high-risk' AI systems, making it applicable to all AI systems.",NOISE,"The organisation's text is a broad subject-line covering the EU's digital strategy and AI in general, offering no discernible position on the specific question of whether the EU database should cover only high-risk stand-alone systems or all AI systems, making a meaningful alignment judgement impossible."
EuroCommerce,84973761187-60,1,meeting,commission_meeting,2021-10-21,Margrethe Vestager's cabinet,"Subject: EU’s digital strategy, plateform regulation, European Data Strategy, Artificial Intelligence",2609,Title VII,title,EU DATABASE FORSTAND-ALONE HIGH-RISKAI SYSTEMS,EU DATABASE FOR AI SYSTEMS,,0.8544,"Expands the scope of the EU database by removing the restriction to 'stand-alone high-risk' AI systems, making it applicable to AI systems broadly.",NOISE,"EuroCommerce's meeting note is a broad subject-line covering the EU's overall digital strategy with no discernible specific position on the scope of the EU AI database, so there is insufficient signal to determine alignment or opposition to this amendment."
(unknown),,0,meeting,commission_meeting,2021-05-28,Ursula von der Leyen,"Subject: Digital & industrial policy, convergence of digital & physical technology, scope of high-risk AI categories in industrial settings, costs of certification (for AI under Machinery Directive, for cybersecurity under NIS2).",2747,Article 67 – title,article,Compliant AI systems which present a risk,Compliant AI systems which present a riskto the health and safety,,0.8539,Narrows the scope of compliant but risky AI systems by specifying that the risk in question must relate to health and safety.,NOISE,"The organisation's position concerns industrial settings, certification costs, and scope of high-risk AI categories, but does not speak to whether the risk threshold for compliant AI systems should be limited to health and safety specifically, making this a poor thematic match."
Orgalim – Europe's Technology Industries,20210641335-88,3,meeting,commission_meeting,2021-05-28,Ursula von der Leyen's cabinet,"Subject: Digital & industrial policy, convergence of digital & physical technology, scope of high-risk AI categories in industrial settings, costs of certification (for AI under Machinery Directive, for cybersecurity under NIS2).",2747,Article 67 – title,article,Compliant AI systems which present a risk,Compliant AI systems which present a riskto the health and safety,,0.8539,Narrows the scope of the article title by specifying that the risk presented by compliant AI systems relates specifically to health and safety.,NOISE,"While Orgalim engaged on scope of high-risk AI categories, this amendment is a minor titular clarification that does not clearly align or oppose their stated positions on certification costs or high-risk category scope in industrial settings."
(unknown),,0,meeting,commission_meeting,2021-10-21,Margrethe Vestager,"Subject: EU’s digital strategy, plateform regulation, European Data Strategy, Artificial Intelligence",2329,Article 53 – paragraph 5,article,"5.	Member States’ competent authorities that have established AI regulatory sandboxes shall coordinate their activities and cooperate within the framework of the EuropeanArtificial Intelligence Board. Theyshall submit annual reports to the Boardand the Commissionon the results from the implementation of those scheme, including good practices, lessons learnt and recommendations on their setup and, where relevant, on the application of this Regulation and other Union legislation supervised within the sandbox.","5.The European Commission,Member States’ competent authoritiesand other entitiesthat have established AI regulatory sandboxes shall coordinate their activities and cooperate within the framework of the EuropeanCommission’s AI Regulatory Sandboxing programme.The European Commissionshall submit annual reports to theEuropean Artificial IntelligenceBoard on the results from the implementation of those scheme, including good practices, lessons learnt and recommendations on their setup and, where relevant, on the application of this Regulation and other Union legislation supervised within the sandbox.",,0.8534,"Centralises AI regulatory sandbox coordination under a European Commission-led programme, replacing the European AI Board as the primary coordination framework and shifting reporting obligations to the Commission.",NOISE,"The organisation's post-proposal text is a high-level summary of EU digital strategy topics with no discernible position on the specific structural/institutional question of whether sandbox coordination should be Commission-led vs. Board-led, making alignment impossible to determine."
EuroCommerce,84973761187-60,1,meeting,commission_meeting,2021-10-21,Margrethe Vestager's cabinet,"Subject: EU’s digital strategy, plateform regulation, European Data Strategy, Artificial Intelligence",2329,Article 53 – paragraph 5,article,"5.	Member States’ competent authorities that have established AI regulatory sandboxes shall coordinate their activities and cooperate within the framework of the EuropeanArtificial Intelligence Board. Theyshall submit annual reports to the Boardand the Commissionon the results from the implementation of those scheme, including good practices, lessons learnt and recommendations on their setup and, where relevant, on the application of this Regulation and other Union legislation supervised within the sandbox.","5.The European Commission,Member States’ competent authoritiesand other entitiesthat have established AI regulatory sandboxes shall coordinate their activities and cooperate within the framework of the EuropeanCommission’s AI Regulatory Sandboxing programme.The European Commissionshall submit annual reports to theEuropean Artificial IntelligenceBoard on the results from the implementation of those scheme, including good practices, lessons learnt and recommendations on their setup and, where relevant, on the application of this Regulation and other Union legislation supervised within the sandbox.",,0.8534,"Centralises AI regulatory sandbox coordination under a European Commission-led programme, replacing the European AI Board's coordinating role and shifting reporting responsibility from Member States to the European Commission.",NOISE,"EuroCommerce's post-proposal text relates to broad digital strategy and platform regulation topics discussed with Vestager's cabinet, and contains no discernible position on the specific institutional mechanics of AI regulatory sandbox coordination or reporting structures that this amendment addresses."
(unknown),,0,meeting,commission_meeting,2021-10-21,Margrethe Vestager,"Subject: EU’s digital strategy, plateform regulation, European Data Strategy, Artificial Intelligence",316,Recital 1,recital,"(1)	The purpose of this Regulation is to improve the functioning of the internal market by laying down a uniform legal framework in particular for the development, marketing and use of artificial intelligence in conformity with Union values. This Regulation pursues a number of overriding reasons of public interest, such as a high level of protection of health, safetyandfundamental rights, and it ensures the free movement of AI-based goods and services cross-border, thus preventing Member States from imposing restrictions on the development, marketing and use of AI systems, unless explicitly authorised by this Regulation.","(1)	The purpose of this Regulation is to improve the functioning of the internal market by laying down a uniform legal framework in particular for the development,the placing on the market, the putting into service and themarketing and use of artificial intelligence in conformity with Union values. This Regulation pursues a number of overriding reasons of public interest, such as a high level of protection of health, safety,fundamental rights, the environment and the Union values enshrined in Article 2 of the Treaty on European Union (TEU), and it ensures the free movement of AI-based goods and services cross-border, thus preventing Member States from imposing restrictions on the development, marketing and use of AI systems, unless explicitly authorised by this Regulation.",,0.8526,"Expands the scope of the regulation's stated purposes to include 'placing on the market' and 'putting into service' alongside 'marketing and use', and broadens protected interests to include the environment and EU Treaty values alongside health, safety, and fundamental rights.",NOISE,"The organisation's post-proposal text is only a high-level subject line referencing the EU's digital strategy and AI, with no discernible position on the specific scope expansions introduced by this amendment, making it impossible to determine alignment or opposition."
EuroCommerce,84973761187-60,1,meeting,commission_meeting,2021-10-21,Margrethe Vestager's cabinet,"Subject: EU’s digital strategy, plateform regulation, European Data Strategy, Artificial Intelligence",316,Recital 1,recital,"(1)	The purpose of this Regulation is to improve the functioning of the internal market by laying down a uniform legal framework in particular for the development, marketing and use of artificial intelligence in conformity with Union values. This Regulation pursues a number of overriding reasons of public interest, such as a high level of protection of health, safetyandfundamental rights, and it ensures the free movement of AI-based goods and services cross-border, thus preventing Member States from imposing restrictions on the development, marketing and use of AI systems, unless explicitly authorised by this Regulation.","(1)	The purpose of this Regulation is to improve the functioning of the internal market by laying down a uniform legal framework in particular for the development,the placing on the market, the putting into service and themarketing and use of artificial intelligence in conformity with Union values. This Regulation pursues a number of overriding reasons of public interest, such as a high level of protection of health, safety,fundamental rights, the environment and the Union values enshrined in Article 2 of the Treaty on European Union (TEU), and it ensures the free movement of AI-based goods and services cross-border, thus preventing Member States from imposing restrictions on the development, marketing and use of AI systems, unless explicitly authorised by this Regulation.",,0.8526,"Expands the scope of the regulation's stated purpose by adding 'placing on the market' and 'putting into service' as covered activities, and broadens the public interest protections to include the environment and EU Treaty values.",NOISE,EuroCommerce's recorded position from the Commission meeting is too vague and high-level (covering broad digital strategy topics) to determine whether it aligns with or opposes the specific textual expansions introduced by Amendment 316.
(unknown),,0,meeting,commission_meeting,2021-05-28,Ursula von der Leyen,"Subject: Digital & industrial policy, convergence of digital & physical technology, scope of high-risk AI categories in industrial settings, costs of certification (for AI under Machinery Directive, for cybersecurity under NIS2).",3042,Annex III – title,annex,HIGH-RISK AI SYSTEMS REFERRED TO IN ARTICLE 6(2),INDICATIVE LIST OFHIGH-RISK AI SYSTEMS REFERRED TO IN ARTICLE 6(2),,0.8523,"Renames Annex III from a definitive list to an 'indicative list' of high-risk AI systems, reducing its binding/exhaustive character.",NOISE,"The organisation's post-proposal text addresses broad industrial policy concerns such as scope of high-risk categories and certification costs, and does not speak to whether Annex III should be exhaustive or merely indicative, making this a poor thematic match despite the high cosine score."
Orgalim – Europe's Technology Industries,20210641335-88,3,meeting,commission_meeting,2021-05-28,Ursula von der Leyen's cabinet,"Subject: Digital & industrial policy, convergence of digital & physical technology, scope of high-risk AI categories in industrial settings, costs of certification (for AI under Machinery Directive, for cybersecurity under NIS2).",3042,Annex III – title,annex,HIGH-RISK AI SYSTEMS REFERRED TO IN ARTICLE 6(2),INDICATIVE LIST OFHIGH-RISK AI SYSTEMS REFERRED TO IN ARTICLE 6(2),,0.8523,"Adds the qualifier 'Indicative List of' to the title of Annex III, making the list of high-risk AI systems non-exhaustive rather than definitive.",ALIGNED,"Orgalim raised concerns about the scope of high-risk AI categories in industrial settings and certification costs, suggesting a preference for a narrower or more flexible high-risk classification; making the Annex III list explicitly indicative (rather than fixed) aligns with that interest by reducing the rigidity of the high-risk designation."
(unknown),,0,meeting,commission_meeting,2021-10-21,Margrethe Vestager,"Subject: EU’s digital strategy, plateform regulation, European Data Strategy, Artificial Intelligence",736,Recital 74,recital,"(74)	In order to minimise the risks to implementation resulting from lack of knowledge and expertise in the market as well as to facilitate compliance of providers and notified bodies with their obligations under this Regulation, the AI-on demand platform, the European Digital Innovation Hubs and the Testing and Experimentation Facilities established by the Commission and the Member States at national or EU level shouldpossiblycontribute to the implementation of this Regulation. Within their respective mission and fields of competence, they may provide in particular technical and scientific support to providers and notified bodies.","(74)	In order to minimise the risks to implementation resulting from lack of knowledge and expertise in the market as well as to facilitate compliance of providers and notified bodies with their obligations under this Regulation, the AI-on demand platform, the European Digital Innovation Hubs and the Testing and Experimentation Facilities established by the Commission and the Member States at national or EU level, as well as the ENISA, the EU Agency for Fundamental Rights, EIGE, and the European Data Protection Supervisorshouldconstantlycontribute to the implementation of this Regulation. Within their respective mission and fields of competence, they may provide in particular technical and scientific support to providers and notified bodies.",,0.8522,"Expands the list of bodies contributing to the implementation of the AI Act by adding ENISA, the EU Agency for Fundamental Rights, EIGE, and the European Data Protection Supervisor, and strengthens the language from ""possibly"" to ""constantly"" contribute.",NOISE,"The organisation's post-proposal text is a high-level summary of EU digital strategy topics from a Commission meeting with Margrethe Vestager, and contains no specific position on which agencies should contribute to AI Act implementation or the strength of their obligation, making it impossible to determine alignment or opposition with this amendment."
EuroCommerce,84973761187-60,1,meeting,commission_meeting,2021-10-21,Margrethe Vestager's cabinet,"Subject: EU’s digital strategy, plateform regulation, European Data Strategy, Artificial Intelligence",736,Recital 74,recital,"(74)	In order to minimise the risks to implementation resulting from lack of knowledge and expertise in the market as well as to facilitate compliance of providers and notified bodies with their obligations under this Regulation, the AI-on demand platform, the European Digital Innovation Hubs and the Testing and Experimentation Facilities established by the Commission and the Member States at national or EU level shouldpossiblycontribute to the implementation of this Regulation. Within their respective mission and fields of competence, they may provide in particular technical and scientific support to providers and notified bodies.","(74)	In order to minimise the risks to implementation resulting from lack of knowledge and expertise in the market as well as to facilitate compliance of providers and notified bodies with their obligations under this Regulation, the AI-on demand platform, the European Digital Innovation Hubs and the Testing and Experimentation Facilities established by the Commission and the Member States at national or EU level, as well as the ENISA, the EU Agency for Fundamental Rights, EIGE, and the European Data Protection Supervisorshouldconstantlycontribute to the implementation of this Regulation. Within their respective mission and fields of competence, they may provide in particular technical and scientific support to providers and notified bodies.",,0.8522,"Expands the list of bodies contributing to the implementation of the AI Regulation by adding ENISA, the EU Agency for Fundamental Rights, EIGE, and the European Data Protection Supervisor, while strengthening their role from ""possibly"" to ""constantly"" contributing.",NOISE,"EuroCommerce's post-proposal text focuses on broad digital strategy and platform regulation topics, and provides no discernible position on the specific question of which EU agencies should contribute to AI Act implementation or the strength of their mandate to do so."
(unknown),,0,meeting,commission_meeting,2021-10-21,Margrethe Vestager,"Subject: EU’s digital strategy, plateform regulation, European Data Strategy, Artificial Intelligence",318,Recital 1,recital,"(1)	The purpose of this Regulation is to improve the functioning of the internal market by laying down a uniform legal framework in particular for the development, marketing and use of artificial intelligence in conformity with Union values. This Regulation pursues a number of overriding reasons of public interest, such as a high level of protection of health, safety and fundamental rights, and it ensures the free movement of AI-based goods and services cross-border, thus preventing Member States from imposing restrictions on the development, marketing and use of AI systems, unless explicitly authorised by this Regulation.","(1)	The purpose of this Regulation is to improve the functioning of the internal market by laying down a uniform legal framework in particular for the development, marketing and use of artificial intelligence in conformity with Union values. This Regulation pursues a number of overriding reasons of public interest, such as a high level of protection of health, safety, environmentand fundamental rights,as well as consumer protectionand it ensures the free movement of AI-based goods and services cross-border, thus preventing Member States from imposing restrictions on the development, marketing and use of AI systems, unless explicitly authorised by this Regulation.",,0.852,Adds 'environment' and 'consumer protection' to the list of overriding public interest reasons pursued by the AI Regulation in Recital 1.,NOISE,"The organisation's post-proposal text is only a high-level subject line from a Commission meeting covering broad digital strategy topics, providing no specific position on whether environmental protection or consumer protection should be added to the Regulation's recitals, making alignment impossible to determine."
EuroCommerce,84973761187-60,1,meeting,commission_meeting,2021-10-21,Margrethe Vestager's cabinet,"Subject: EU’s digital strategy, plateform regulation, European Data Strategy, Artificial Intelligence",318,Recital 1,recital,"(1)	The purpose of this Regulation is to improve the functioning of the internal market by laying down a uniform legal framework in particular for the development, marketing and use of artificial intelligence in conformity with Union values. This Regulation pursues a number of overriding reasons of public interest, such as a high level of protection of health, safety and fundamental rights, and it ensures the free movement of AI-based goods and services cross-border, thus preventing Member States from imposing restrictions on the development, marketing and use of AI systems, unless explicitly authorised by this Regulation.","(1)	The purpose of this Regulation is to improve the functioning of the internal market by laying down a uniform legal framework in particular for the development, marketing and use of artificial intelligence in conformity with Union values. This Regulation pursues a number of overriding reasons of public interest, such as a high level of protection of health, safety, environmentand fundamental rights,as well as consumer protectionand it ensures the free movement of AI-based goods and services cross-border, thus preventing Member States from imposing restrictions on the development, marketing and use of AI systems, unless explicitly authorised by this Regulation.",,0.852,"Adds 'environment' and 'consumer protection' to the list of overriding public interest reasons in Recital 1, expanding the scope of stated objectives.",NOISE,"EuroCommerce's post-proposal text covers broad digital strategy topics (platform regulation, data strategy, AI) without any discernible specific position on whether environmental protection or consumer protection should be added to the recital's public interest objectives, making it impossible to determine alignment or opposition."
(unknown),,0,meeting,commission_meeting,2021-10-21,Margrethe Vestager,"Subject: EU’s digital strategy, plateform regulation, European Data Strategy, Artificial Intelligence",739,Recital 76,recital,"(76)	In order tofacilitate a smooth,effective and harmonised implementation of this Regulationa EuropeanArtificial IntelligenceBoardshould be established. The Board should be responsible fora number of advisory tasks, including issuing opinions, recommendations, advice or guidance on matters related tothe implementation ofthis Regulation, including on technical specifications or existing standards regarding the requirements established inthis Regulationand providing advice to and assisting the Commission on specific questions related to artificial intelligence.","(76)	In order toensure aneffective and harmonised implementation of this Regulation, to achieve a high level of trustworthiness and of protection of health, safety, fundamental rights and the Union values enshrined in Article 2 TEU across the Union with regards toartificial intelligencesystems, to actively support Member States, Union institutions, bodies, offices and agencies in matters pertaining to this Regulation, to reduce the fragmentation of the internal market, and to increase the uptake of artificial intelligence throughout the Union, an European Union Artificial Intelligence Officeshould be established. TheAI Office should have legal personality, should act in full independence, and should be adequately funded and staffed.Member States should provide the strategic direction and control of the AI Office through the managementboardof the AI Office, alongside the Commission, the EDPS, and the FRA.An executive directorshould be responsible forthe coordination of the AI Office’s operations and forthe implementation ofits work programme.Industry,start-ups and SMEs, and civil society should formally participate in the work of the AI Office through an advisory forum that should ensure varied stakeholder representation and should advise the AI Office on matters pertaining tothis Regulation.",,0.8516,"Expands and strengthens the mandate and objectives of the AI oversight body, shifting from a basic advisory Board to a more active EU AI Office with broader goals including trustworthiness, fundamental rights protection, and internal market cohesion.",NOISE,"The organisation's post-proposal text consists only of a high-level subject line with no substantive position on the structure or mandate of the AI oversight body, making it impossible to determine alignment or opposition to this amendment."
EuroCommerce,84973761187-60,1,meeting,commission_meeting,2021-10-21,Margrethe Vestager's cabinet,"Subject: EU’s digital strategy, plateform regulation, European Data Strategy, Artificial Intelligence",739,Recital 76,recital,"(76)	In order tofacilitate a smooth,effective and harmonised implementation of this Regulationa EuropeanArtificial IntelligenceBoardshould be established. The Board should be responsible fora number of advisory tasks, including issuing opinions, recommendations, advice or guidance on matters related tothe implementation ofthis Regulation, including on technical specifications or existing standards regarding the requirements established inthis Regulationand providing advice to and assisting the Commission on specific questions related to artificial intelligence.","(76)	In order toensure aneffective and harmonised implementation of this Regulation, to achieve a high level of trustworthiness and of protection of health, safety, fundamental rights and the Union values enshrined in Article 2 TEU across the Union with regards toartificial intelligencesystems, to actively support Member States, Union institutions, bodies, offices and agencies in matters pertaining to this Regulation, to reduce the fragmentation of the internal market, and to increase the uptake of artificial intelligence throughout the Union, an European Union Artificial Intelligence Officeshould be established. TheAI Office should have legal personality, should act in full independence, and should be adequately funded and staffed.Member States should provide the strategic direction and control of the AI Office through the managementboardof the AI Office, alongside the Commission, the EDPS, and the FRA.An executive directorshould be responsible forthe coordination of the AI Office’s operations and forthe implementation ofits work programme.Industry,start-ups and SMEs, and civil society should formally participate in the work of the AI Office through an advisory forum that should ensure varied stakeholder representation and should advise the AI Office on matters pertaining tothis Regulation.",,0.8516,"Expands and strengthens the mandate and objectives of the AI oversight body, rebranding it as an ""EU Artificial Intelligence Office"" with broader goals including protecting fundamental rights, reducing internal market fragmentation, and increasing AI uptake.",NOISE,"EuroCommerce's recorded position relates only to general topics of EU digital strategy and AI, with no specific stance on the governance structure or mandate of the AI oversight body that can be meaningfully matched to this amendment."
