organisation,transparency_reg_id,source_type,preproposal_meetings_total,preproposal_meetings_commission,preproposal_meetings_ep,article_type,article_number,article_title,similarity_score,provision_effect,label,reasoning,n_chunks,conflict
Association for Financial Markets in Europe (AFME),65110063986-76,hys_feedback,0,0,0,article,75,,0.84229,"Requires that when adopting detailed measures related to AI security equipment, the requirements of the AI Act (Chapter 2, Title III) must be taken into account, thereby integrating AI-specific regulation into aviation security equipment approvals.",OPPOSING,"AFME explicitly advocates against technology-specific AI regulation, arguing it should remain technology-neutral and principles-based to avoid barriers to innovation. The provision does the opposite by mandating that AI-specific regulatory requirements (from the AI Act) be incorporated into security equipment approval procedures, directly contradicting AFME's stated preference for avoiding technology-specific rules.",1,False
Association for Financial Markets in Europe (AFME),65110063986-76,hys_feedback,0,0,0,article,78,,0.851527,"Requires the Commission, when adopting technical specifications and testing standards for marine equipment, to take into account the AI Act's Title III Chapter 2 requirements for AI systems that are safety components.",OPPOSING,"AFME explicitly advocates for technology-neutral, principles-based regulation and warns against technology-specific regulation (like AI-specific rules) as creating barriers to innovation and failing to keep pace with developments. The provision does the opposite by embedding AI-specific requirements (Title III, Chapter 2 of the AI Act) into marine equipment regulation, directly contradicting AFME's stated preference to avoid technology-specific regulatory frameworks.",1,False
Association for Financial Markets in Europe (AFME),65110063986-76,hys_feedback,0,0,0,article,80,,0.850827,"Requires that when adopting delegated acts concerning AI systems that are safety components under the AI Regulation, the requirements of Title III, Chapter 2 of that Regulation (on high-risk AI systems) must be taken into account, specifically in the context of vehicle type-approval regulation.",OPPOSING,"AFME explicitly advocates for technology-neutral, principles-based regulation and warns against technology-specific regulation (like AI-specific rules) as creating barriers to innovation and struggling to keep pace with developments. The provision does the opposite — it mandates that AI-specific requirements (Title III, Chapter 2 of the AI Regulation) be taken into account when regulating AI safety components, embedding technology-specific obligations into the delegated acts framework.",1,False
Association for Financial Markets in Europe (AFME),65110063986-76,hys_feedback,0,0,0,article,81,,0.860503,"Amends Regulation (EU) 2018/1139 to require that AI requirements from Title III, Chapter 2 of the AI Regulation be taken into account when adopting implementing and delegated acts concerning AI systems that are safety components in the aviation sector.",NOISE,"The org's position focuses on the general approach to AI regulation — advocating for a risk-based, high-risk-focused framework rather than technology-specific rules — but does not express any specific stance on the aviation sector amendments or the integration of AI safety component requirements into Regulation (EU) 2018/1139. The org text is too general and unrelated to the specific sectoral amendment in this provision to constitute a substantive advocacy position on it.",1,False
Augmented Law Institute - EDHEC Business School,,hys_feedback,0,0,0,article,13,,0.866882,"Requires high-risk AI systems to be sufficiently transparent and accompanied by detailed instructions for use, specifying characteristics, limitations, accuracy, risks to health/safety and fundamental rights, human oversight measures, and other operational information.",UNDETECTABLE,"The org's position focuses specifically on defining ""high risk"" — calling for a clear definition of risk severity/likelihood thresholds and examples tied to fundamental rights — rather than on transparency or information obligations. While both the org and the provision reference risks to health, safety, and fundamental rights in the context of high-risk AI, the provision addresses transparency and user information requirements, not the definitional criteria for what qualifies as ""high risk."" There is a real but indirect connection (both concern high-risk AI and fundamental rights impacts), yet it is genuinely unclear whether this transparency provision satisfies, contradicts, or simply ignores the org's specific advocacy on risk definition and severity thresholds.",1,False
Augmented Law Institute - EDHEC Business School,,hys_feedback,0,0,0,article,3,,0.866751,"Establishes a comprehensive set of definitions for key terms used throughout the AI regulation, including 'AI system', 'provider', 'user', 'operator', and other relevant concepts.",ALIGNED,"The organisation explicitly identified the lack of clear definitions — particularly for 'artificial intelligence' — as a primary problem in the Impact Assessment and called for these to be clearly defined before proceeding. Article 3 directly responds to this by providing a detailed list of definitions, including a definition of 'AI system', which is precisely what the organisation advocated for.",2,False
Augmented Law Institute - EDHEC Business School,,hys_feedback,0,0,0,article,43,,0.86686,"Establishes conformity assessment procedures for high-risk AI systems, including internal control and third-party (notified body) assessments, with specific rules depending on the category of high-risk AI system and whether harmonised standards or common specifications have been applied.",NOISE,"The organisation's position focuses on defining ""risk"" and establishing a clear severity/likelihood threshold for classifying AI systems as ""high risk,"" with reference to fundamental rights and the EU Charter. Article 43, however, deals exclusively with the procedural mechanics of conformity assessment once a system has already been classified as high-risk — it does not address how ""high risk"" is defined or what severity threshold triggers that classification. The org's advocacy is about the definitional/classification stage, not the conformity assessment procedure itself, so there is no substantive connection between the two.",1,False
Augmented Law Institute - EDHEC Business School,,hys_feedback,0,0,0,article,5,,0.864454,"Prohibits specific AI practices including subliminal manipulation, exploitation of vulnerable groups, social scoring by public authorities, and real-time remote biometric identification in public spaces for law enforcement (with limited exceptions and safeguards).",ALIGNED,"The organisation explicitly identifies a regulatory gap for AI systems that process data in public spaces (e.g., emotion recognition for behavioural advertising) without identifying individuals, arguing these pose high risks to fundamental rights not covered by existing law such as GDPR. Article 5 directly addresses this gap by prohibiting AI systems that deploy subliminal techniques or exploit vulnerabilities to distort behaviour in public spaces, and by regulating real-time biometric identification in publicly accessible spaces — concrete regulatory action in the exact direction the organisation advocated for (filling the gap for AI-driven harms to fundamental rights not covered by existing data protection or anti-discrimination law).",1,False
Augmented Law Institute - EDHEC Business School,,hys_feedback,0,0,0,article,62,,0.860858,Requires providers of high-risk AI systems to report serious incidents or malfunctioning that breach Union law protecting fundamental rights to market surveillance authorities within 15 days.,UNDETECTABLE,"The org advocates for a clearer and more precise definition of ""high risk"" and the severity/likelihood thresholds tied to fundamental rights, which is related to the subject matter of this provision (serious incidents involving fundamental rights breaches). However, the provision establishes a reporting obligation rather than defining what constitutes ""high risk,"" so it is genuinely unclear whether the provision satisfies, contradicts, or ignores the org's specific ask for definitional clarity around risk thresholds and severity levels.",1,False
Augmented Law Institute - EDHEC Business School,,hys_feedback,0,0,0,article,64,,0.864333,"Grants market surveillance authorities and fundamental rights bodies full access to AI training datasets, source code, and documentation for conformity assessment and oversight of high-risk AI systems.",NOISE,"The organisation's position focuses specifically on how ""high risk"" should be defined — advocating for clear severity/likelihood thresholds and examples tied to fundamental rights under the EU Charter. The provision, by contrast, deals with access to data and documentation by market surveillance and fundamental rights authorities. While both touch on fundamental rights in the context of high-risk AI, the org's text contains no substantive advocacy position on oversight access mechanisms, making the connection too remote to constitute specific alignment.",1,False
Augmented Law Institute - EDHEC Business School,,hys_feedback,0,0,0,article,7,,0.879104,"Empowers the Commission to add high-risk AI systems to Annex III via delegated acts, and establishes specific criteria (including severity, probability, fundamental rights impact, vulnerability of persons, and reversibility) for assessing whether an AI system qualifies as high-risk.",ALIGNED,"The organisation explicitly advocated for a clear definition of ""risk"" with specified levels of severity and likelihood to qualify as ""high risk,"" dedicated criteria for health and safety, and examples/criteria linked to fundamental rights — all of which Article 7 delivers by establishing a concrete multi-factor assessment framework (including severity, probability, fundamental rights impact, vulnerability, and reversibility) for classifying AI systems as high-risk. The provision directly responds to the org's call for methodological clarity on what constitutes high risk.",1,False
Augmented Law Institute - EDHEC Business School,,hys_feedback,0,0,0,article,78,,0.843626,Amends Directive 2014/90/EU to require the Commission to take into account AI Act Title III Chapter 2 requirements when overseeing AI systems that are safety components in marine equipment.,NOISE,"The org text discusses concerns about the definition of AI being potentially limited or unclear, without taking a specific directional stance on how AI safety components should be regulated in sectoral legislation like marine equipment directives. The org's position is too general and definitional in nature to constitute specific advocacy that could be evaluated against this provision's concrete amendment to Directive 2014/90/EU.",1,False
Augmented Law Institute - EDHEC Business School,,hys_feedback,0,0,0,article,79,,0.841662,"Requires that when adopting delegated and implementing acts concerning AI systems that are safety components under the AI Regulation, the requirements of Title III, Chapter 2 of that Regulation (on high-risk AI systems) must be taken into account, amending Directive (EU) 2016/797 on railway interoperability.",NOISE,"The organisation's text focuses narrowly on the ambiguity and inadequacy of the definition of AI in the White Paper and Inception Impact Assessment, without taking a specific directional stance on how AI requirements should be integrated into sectoral legislation like railway interoperability directives. The org text does not advocate for or against the mechanism established by Article 79; it merely raises a definitional concern at a general level, which constitutes background commentary rather than a specific advocacy position relevant to this provision.",1,False
Augmented Law Institute - EDHEC Business School,,hys_feedback,0,0,0,article,80,,0.856443,"Requires that delegated acts under Regulation (EU) 2018/858 concerning AI systems that are safety components must take into account the requirements set out in Title III, Chapter 2 of the AI Regulation.",NOISE,"The organisation's text is largely introductory and structural — outlining the three-part framework of their position paper (definitional, methodological, content-based) and flagging a concern about the lack of clear definitions of ""artificial intelligence"" and ""risk."" This does not constitute a specific advocacy position on the cross-referencing of AI safety component requirements into vehicle type-approval legislation, which is what Article 80 specifically establishes. The org's general call for clearer definitions is too broad and unrelated in direction to evaluate against this specific amendment provision.",1,False
Augmented Law Institute - EDHEC Business School,,hys_feedback,0,0,0,article,81,,0.865523,"Amends Regulation (EU) 2018/1139 to require that AI requirements from Title III, Chapter 2 of the AI Regulation be taken into account when adopting implementing and delegated acts concerning AI systems that are safety components in the aviation sector.",NOISE,"The organisation's text is largely introductory and structural — it outlines the three-part structure of their position paper (definitions, methodology, content) and raises a general concern about the lack of clear definitions of ""AI"" and ""risk,"" without taking any specific directional stance on the integration of AI safety requirements into sectoral aviation legislation. This is background/framing text with no specific advocacy position that can be evaluated against the provision's concrete action.",1,False
Augmented Law Institute - EDHEC Business School,,hys_feedback,0,0,0,article,82,,0.859139,"Amends Regulation (EU) 2019/2144 to require that, when adopting implementing acts on AI systems that are safety components under the AI Regulation, the high-risk AI requirements set out in Title III, Chapter 2 of the AI Regulation shall be taken into account.",NOISE,"The organisation's text is a general analytical position paper structured around definitional, methodological, and content-based questions about AI regulation, with no specific advocacy stance on the intersection of the AI Regulation and vehicle safety regulation (Regulation 2019/2144) or on how implementing acts for AI safety components in vehicles should be handled. The org's concerns about definitions and risk are too general and unrelated to this specific cross-regulatory amendment to constitute a directional advocacy position.",3,False
Augmented Law Institute - EDHEC Business School,,hys_feedback,0,0,0,article,84,,0.857768,"Requires the Commission to periodically evaluate and review the AI Regulation, including assessing the need to amend Annex III, reporting on national competent authorities' resources and penalties, and evaluating codes of conduct effectiveness.",NOISE,"The organisation's text is a structural overview of their position paper (definitional, methodological, and content-based parts) and raises concerns about unclear definitions of ""artificial intelligence"" and ""risk."" It contains no specific advocacy position regarding periodic evaluation and review mechanisms, reporting obligations, or the Commission's amendment procedures — the subject matter of Article 84. The org text is essentially introductory/background in nature relative to this provision.",1,False
BEUC - The European Consumers Voice,9505781573-45,hys_feedback,7,2,5,article,1,,0.867858,"Establishes the subject matter of the AI Regulation, covering harmonised rules for placing AI systems on the market, prohibitions of certain AI practices, requirements for high-risk AI systems, transparency rules, and market surveillance rules.",ALIGNED,"BEUC specifically advocates for new rules applying to algorithmic/AI systems with prohibitions on certain uses, organisational and technical safeguards, and an institutional structure for supervision and enforcement — all of which are concretely reflected in Article 1's enumerated subject matter (prohibitions, high-risk requirements, transparency rules, and market surveillance). The provision takes concrete action in the same direction as BEUC's advocacy, including the ""ultima ratio"" ban mechanism BEUC requested, which maps directly to the ""prohibitions of certain artificial intelligence practices"" listed in Article 1(a).",4,False
BEUC - The European Consumers Voice,9505781573-45,hys_feedback,7,2,5,article,10,,0.876297,"Establishes mandatory data governance and quality requirements (relevance, representativeness, bias examination, etc.) for training, validation, and testing datasets used in high-risk AI systems.",ALIGNED,"BEUC explicitly welcomes specific requirements for high-risk AI applications, including requirements relating to training data and data sets, as capable of contributing to more transparent and responsible AI development. Article 10 directly delivers these training data and data governance requirements for high-risk AI systems, aligning with BEUC's stated support for such provisions.",1,False
BEUC - The European Consumers Voice,9505781573-45,hys_feedback,7,2,5,article,13,,0.870977,"Requires high-risk AI systems to be sufficiently transparent and accompanied by detailed instructions for use, specifying capabilities, limitations, accuracy, risks to health/safety/fundamental rights, and human oversight measures.",ALIGNED,"BEUC explicitly welcomes transparency requirements for high-risk AI systems as contributing to more transparent and responsible development of new technologies. Article 13 directly establishes the transparency and information obligations for high-risk AI systems that BEUC advocated for, making this a clear case of the provision delivering what the organisation asked for.",1,False
BEUC - The European Consumers Voice,9505781573-45,hys_feedback,7,2,5,article,17,,0.862456,"Requires providers of high-risk AI systems to establish a documented quality management system covering design, development, data management, risk management, post-market monitoring, and accountability frameworks throughout the system's lifecycle.",ALIGNED,"BEUC explicitly advocates for strong and tangible safeguards throughout the whole lifecycle of AI/ADM systems to address consumer concerns about safety, transparency, and unintended consequences. Article 17 directly responds to this by mandating a comprehensive quality management system that covers the entire lifecycle — from design and development through post-market monitoring — embedding systematic safeguards at every stage, which is precisely what BEUC called for.",1,False
BEUC - The European Consumers Voice,9505781573-45,hys_feedback,7,2,5,article,19,,0.854028,"Requires providers of high-risk AI systems to undergo conformity assessment procedures before placing their systems on the market or putting them into service, and to draw up an EU declaration of conformity and affix CE marking upon demonstrated compliance.",ALIGNED,"The org explicitly anticipated and described that high-risk AI applications would face ""stricter legal requirements, including for example technological conformity assessments and, in some cases, mandatory regulatory pre-approval before market deployment."" The provision directly establishes mandatory conformity assessments for high-risk AI systems prior to market placement, which is precisely the mechanism the org described as appropriate for high-risk applications. This is a clear case of the provision delivering the specific regulatory mechanism the org advocated for.",1,False
BEUC - The European Consumers Voice,9505781573-45,hys_feedback,7,2,5,article,23,,0.849031,"Requires providers of high-risk AI systems to cooperate with national competent authorities by providing documentation, information, and access to automatically generated logs to demonstrate conformity with requirements.",NOISE,"The org's position focuses on the scope of the risk-based framework (arguing it should cover all AI applications, not just high-risk ones) and definitional issues, but does not express any specific stance on provider cooperation obligations with national competent authorities or access to logs. The org text contains no directional advocacy position relevant to this provision's subject matter.",1,False
BEUC - The European Consumers Voice,9505781573-45,hys_feedback,7,2,5,article,29,,0.863085,"Establishes obligations for users of high-risk AI systems, including following instructions of use, monitoring system operation, suspending use when risks are identified, keeping logs, and using AI-related information for data protection impact assessments.",ALIGNED,"BEUC explicitly advocates for mandatory logging, documentation, and transparency by design standards, as well as a minimum level of human oversight so that AI system decisions can be checked and corrected. Article 29 directly delivers on these asks by requiring users to monitor high-risk AI systems, keep automatically generated logs, and implement human oversight measures — concrete actions in the same direction as BEUC's advocacy.",1,False
BEUC - The European Consumers Voice,9505781573-45,hys_feedback,7,2,5,article,3,,0.869715,"Establishes a definition of 'AI system' as software developed with techniques listed in Annex I that generates outputs influencing environments, along with definitions for other key terms used throughout the Regulation.",UNDETECTABLE,"BEUC explicitly advocates for a solid, robust definition of AI, warning that a weak definition would allow organisations to circumvent regulation and undermine accountability. The provision does provide a formal definition of AI system, which responds to BEUC's call for definitional clarity. However, BEUC's concern was specifically that the White Paper's definition was too narrow or vague and could be easily bypassed — it is genuinely unclear from the text alone whether the Commission's chosen definition in Article 3 satisfies BEUC's standard for robustness or still falls into the trap they warned against, making the direction of alignment ambiguous.",3,False
BEUC - The European Consumers Voice,9505781573-45,hys_feedback,7,2,5,article,38,,0.840859,"Requires the Commission to establish coordination and cooperation between notified bodies active in AI conformity assessment procedures through a sectoral group, with Member States ensuring their notified bodies participate.",NOISE,"The org's position focuses on public enforcement, competent authorities' investigative powers, and empowering civil society/consumer organisations — not on the coordination of notified bodies in conformity assessment. The provision deals with a technical administrative mechanism (sectoral group of notified bodies) that is unrelated to the enforcement and redress system the org is advocating for. The org text contains no specific stance on notified body coordination.",1,False
BEUC - The European Consumers Voice,9505781573-45,hys_feedback,7,2,5,article,42,,0.869762,Establishes a presumption of conformity for high-risk AI systems with data requirements (Article 10(4)) and cybersecurity requirements (Article 15) when trained on geographically/behaviourally relevant data or certified under an EU cybersecurity scheme.,UNDETECTABLE,"BEUC expresses support for specific requirements on high-risk AI systems — including training data, conformity assessment, and certification — but does not take a specific stance on presumptions of conformity or the conditions under which compliance with data/cybersecurity requirements should be presumed. While there is a real connection (both concern high-risk AI conformity requirements), it is genuinely unclear whether BEUC would view this presumption mechanism as strengthening or weakening the protections they advocate for.",1,False
