organisation,tr_id,meeting_count,source_kind,source_type,source_date,source_commissioner,source_text,article_type,article_number,article_title,article_text,cosine_score,label,reasoning
Fair Trials,302540016347-29,0,feedback,hys_feedback,2020-09-10,,"range of AI systems being used in the criminal justice system beyond such specific categories as biometric identification systems, though such systems do represent a significant threat to fundamental rights. The framing of sub-option b is too vague for us to be able to consider whether all those AI and algorithmic systems in the criminal justice system would definitively be classified as ‘high- risk’, although it is likely, but it is possible that a narrower definition with subjective interpretation may not sufficiently capture all those systems which could pose a threat to the right to a fair trial. A legislative act which covers all AI such as that proposed by sub-option c may be able to ensure proper and comprehensive protection, encompassing the range of AI and algorithmic automated decision- making systems, and provide a clear and sufficient solution to the challenges and problems posed by AI in criminal justice.",recital,38,,"recital 38
Actions by law enforcement authorities involving certain uses of AI systems are characterised by a significant degree of power imbalance and may lead to surveillance, arrest or deprivation of a natural person’s liberty as well as other adverse impacts on fundamental rights guaranteed in the Charter. In particular, if the AI system is not trained with high quality data, does not meet adequate requirements in terms of its accuracy or robustness, or is not properly designed and tested before being put on the market or otherwise put into service, it may single out people in a discriminatory or otherwise incorrect or unjust manner. Furthermore, the exercise of important procedural fundamental rights, such as the right to an effective remedy and to a fair trial as well as the right of defence and the presumption of innocence, could be hampered, in particular, where such AI systems are not sufficiently transparent, explainable and documented. It is therefore appropriate to classify as high-risk a number of AI systems intended to be used in the law enforcement context where accuracy, reliability and transparency is particularly important to avoid adverse impacts, retain public trust and ensure accountability and effective redress. In view of the nature of the activities in question and the risks relating thereto, those high-risk AI systems should include in particular AI systems intended to be used by law enforcement authorities for individual risk assessments, polygraphs and similar tools or to detect the emotional state of natural person, to detect ‘deep fakes’, for the evaluation of the reliability of evidence in criminal proceedings, for predicting the occurrence or reoccurrence of an actual or potential criminal offence based on profiling of natural persons, or assessing personality traits and characteristics or past criminal behaviour of natural persons or groups, for profiling in the course of detection, investigation or prosecution of criminal offences, as well as for crime analytics regarding natural persons. AI systems specifically intended to be used for administrative proceedings by tax and customs authorities should not be considered high-risk AI systems used by law enforcement authorities for the purposes of prevention, detection, investigation and prosecution of criminal offences.",0.8693,ALIGNED,"Both the organisation's text and the recital share the concern that AI systems used in the criminal justice/law enforcement context pose significant threats to fundamental rights — including the right to a fair trial — and that inadequate or overly narrow frameworks risk failing to capture all such harmful systems, which aligns with the recital's acknowledgment of power imbalances, discriminatory outcomes, and procedural rights violations."
Huawei,114467111412-38,0,feedback,hys_feedback,2020-09-10,,"Ensuring regulators from different Member States are connected to one another is another important requirement: the focus should be on consistency mechanisms and the harmonization of decisions and requirements from the member states' competent authorities, as well as the relevant institutional coordinating within EU. Guaranteeing this from the start will ensure future regulatory frameworks will not suffer from the shortcomings such as those highlighted in DigitalEurope’s response to the DG JUST Roadmap Consultation on GDPR. 3. Conformity assessment We would propose that a clear definition of “high risk” scenarios should be provided and reviewed regularly with transparent process and should be applied to all vendors. Regarding the process and criteria for assessing the risk level of an AI application, we acknowledge the intent behind the cumulative sectoral + intended use approach, but consider the reliance on allocation of “high-risk sectors” to be extremely difficult to meaningfully implement in practice, as indicated by the examples of “exceptional instances” that were already given in the AI white paper. This problem is further complicated by the difficulty of establishing a useful application independent definition of AI. As an alternative, we would propose: - AI application risk assessments that focus on intended use of the application and the type of impact the AI function has. E.g",article,53,,"article 53
AI regulatory sandboxes 1.AI regulatory sandboxes established by one or more Member States competent authorities or the European Data Protection Supervisor shall provide a controlled environment that facilitates the development, testing and validation of innovative AI systems for a limited time before their placement on the market or putting into service pursuant to a specific plan. This shall take place under the direct supervision and guidance by the competent authorities with a view to ensuring compliance with the requirements of this Regulation and, where relevant, other Union and Member States legislation supervised within the sandbox. 2.Member States shall ensure that to the extent the innovative AI systems involve the processing of personal data or otherwise fall under the supervisory remit of other national authorities or competent authorities providing or supporting access to data, the national data protection authorities and those other national authorities are associated to the operation of the AI regulatory sandbox. 3.The AI regulatory sandboxes shall not affect the supervisory and corrective powers of the competent authorities. Any significant risks to health and safety and fundamental rights identified during the development and testing of such systems shall result in immediate mitigation and, failing that, in the suspension of the development and testing process until such mitigation takes place. 4.Participants in the AI regulatory sandbox shall remain liable under applicable Union and Member States liability legislation for any harm inflicted on third parties as a result from the experimentation taking place in the sandbox. 5.Member States’ competent authorities that have established AI regulatory sandboxes shall coordinate their activities and cooperate within the framework of the European Artificial Intelligence Board. They shall submit annual reports to the Board and the Commission on the results from the implementation of those scheme, including good practices, lessons learnt and recommendations on their setup and, where relevant, on the application of this Regulation and other Union legislation supervised within the sandbox. 6.The modalities and the conditions of the operation of the AI regulatory sandboxes, including the eligibility criteria and the procedure for the application, selection, participation and exiting from the sandbox, and the rights and obligations of the participants shall be set out in implementing acts. Those implementing acts shall be adopted in accordance with the examination procedure referred to in Article 74(2) .",0.869,NOISE,"While both the source text and Article 53 touch on AI regulation and compliance oversight, the source focuses on consistency mechanisms, harmonization across Member States' competent authorities, and conformity assessment, whereas Article 53 specifically establishes AI regulatory sandboxes for testing and validating AI systems — there is only topical overlap with no direct alignment or opposition between the positions."
Bundesverband der Deutschen Industrie,1771817758-48,0,feedback,hys_feedback,2020-09-10,,"Statement on Section 5 ""An ecosystem of trust"" within the White Paper on AI of the European Commission C Scope of a future EU regulatory framework Additional requirements should apply to all technologies concerned Many of the issues and challenges raised in the White Paper on AI are not specific to AI, such as changing functionality of systems or uncertainties in the allocation of responsibilities. In the light of the above, generally there should not be laid down different requirements for AI than for those ""tradi- tional"" algorithmic or numerical systems that are also affected by the chal- lenges. AI functionalities can rarely be clearly distinguished from non-AI- based functionalities. Furthermore, there will be a multitude of hybrid sys- tems. New requirements must always keep up with the state of the art, be updated and then be applied to all systems. Sectoral affiliation is unsuitable as a main criterion A differentiated and risk-based approach is the right way forward for any regulation. However, too much weight is attached to the sector of an AI ap- plication. Sector affiliation will indeed play a role in risk assessment. How- ever, it does not seem to be suitable to define it as one of two main criteria. A sectoral differentiation would only make sense if the vast majority of AI applications used in a given sector pose a significant risk or if the vast major- ity of AI applications from a given sector are completely risk-free",article,42,,"article 42
Presumption of conformity with certain requirements 1.Taking into account their intended purpose, high-risk AI systems that have been trained and tested on data concerning the specific geographical, behavioural and functional setting within which they are intended to be used shall be presumed to be in compliance with the requirement set out in Article 10(4) . 2.High-risk AI systems that have been certified or for which a statement of conformity has been issued under a cybersecurity scheme pursuant to Regulation (EU) 2019/881 of the European Parliament and of the Council and the references of which have been published in the Official Journal of the European Union shall be presumed to be in compliance with the cybersecurity requirements set out in Article 15 of this Regulation in so far as the cybersecurity certificate or statement of conformity or parts thereof cover those requirements.",0.869,NOISE,"While both the BDI source text and Article 42 relate to AI regulation, the BDI's position focuses on the scope of requirements and the distinction between AI and traditional algorithmic systems, whereas Article 42 addresses presumption of conformity for high-risk AI systems based on data geography and cybersecurity certification — there is no meaningful alignment or opposition between the two."
Gesamtverband der Deutschen Versicherungswirtschaft e.V.,6437280268-55,4,feedback,hys_feedback,2020-09-10,,"Existing product safety legislation should be reviewed as to its fitness in the context of AI and other emerg- ing digital technologies. New legislation should only be undertaken where a clear evidence base demonstrates a need for action, and should be pro- portionate to the concrete risks posed by the AI application in question.  The Product Liability Directive (PLD) is technology-neutral and therefore applies to AI in the same way as to conventional tech- nology. It constitutes a well-balanced system by providing a high level of protection to injured persons while at the same time taking into account producers' legitimate interests and thereby encourag- ing technological innovation and promoting economic growth. Under the PLD, a product is defective if it does not provide the safety which a person is legitimately entitled to expect. Product safety and product security legislation act as a filter for liability and help to define whether a product does not provide the safety which a person is entitled to expect and is therefore defective under the PLD. Rather than altering the existing product liability system, evaluating current product safety legislation should therefore be prioritised. page 4 / 6",article,6,,"article 6
Classification rules for high-risk AI systems 1.Irrespective of whether an AI system is placed on the market or put into service independently from the products referred to in points (a) and (b), that AI system shall be considered high-risk where both of the following conditions are fulfilled: (a)the AI system is intended to be used as a safety component of a product, or is itself a product, covered by the Union harmonisation legislation listed in Annex II; (b)the product whose safety component is the AI system, or the AI system itself as a product, is required to undergo a third-party conformity assessment with a view to the placing on the market or putting into service of that product pursuant to the Union harmonisation legislation listed in Annex II. 2.In addition to the high-risk AI systems referred to in paragraph 1, AI systems referred to in Annex III shall also be considered high-risk.",0.8689,NOISE,"While both the source text and Article 6 relate to AI regulation and risk classification, the source text focuses on proportionality of new legislation and the Product Liability Directive's applicability to AI, whereas Article 6 establishes specific classification rules for high-risk AI systems — there is only topical overlap without the organisation's position being directly reflected or contradicted by the article."
Information Technology Industry Council ITI,061601915428-87,0,feedback,hys_feedback,2020-09-10,,"Small and medium-sized enterprises (SMEs) can gather new insights and improve their businesses by using AI and data analytics made available to them through online services. Therefore, it is crucial for Europe to not only look at the potential harms of using AI, but also consider the potential economic and social harms of limiting the use of AI, which may decrease its positive impact on our communities. Technological innovations bring innumerable benefits to the European economy and society. We are already experiencing the benefits of AI in an array of fields. Promoting these advances is no less important than managing any potential challenges. We thus urge the Commission to take into consideration the wide array of possible applications of AI technology, and their different use cases and risk factors when approaching the development of policies related to AI. We believe that, through a context-specific and risk-based approach, policymakers can develop a framework that adequately addresses any unintended risks that AI may pose while simultaneously promoting technological innovation. Problem definition 1. Fundamental rights While we are aware of the potential risks that may arise from some applications of AI, we believe that context is key in identifying appropriate policies to mitigate this risk. The IIA mentions for instance issues related to fundamental rights and inclusion",recital,72,,"recital 72
The objectives of the regulatory sandboxes should be to foster AI innovation by establishing a controlled experimentation and testing environment in the development and pre-marketing phase with a view to ensuring compliance of the innovative AI systems with this Regulation and other relevant Union and Member States legislation; to enhance legal certainty for innovators and the competent authorities’ oversight and understanding of the opportunities, emerging risks and the impacts of AI use, and to accelerate access to markets, including by removing barriers for small and medium enterprises (SMEs) and start-ups. To ensure uniform implementation across the Union and economies of scale, it is appropriate to establish common rules for the regulatory sandboxes’ implementation and a framework for cooperation between the relevant authorities involved in the supervision of the sandboxes. This Regulation should provide the legal basis for the use of personal data collected for other purposes for developing certain AI systems in the public interest within the AI regulatory sandbox, in line with Article 6(4) of Regulation (EU) 2016/679, and Article 6 of Regulation (EU) 2018/1725, and without prejudice to Article 4(2) of Directive (EU) 2016/680. Participants in the sandbox should ensure appropriate safeguards and cooperate with the competent authorities, including by following their guidance and acting expeditiously and in good faith to mitigate any high-risks to safety and fundamental rights that may arise during the development and experimentation in the sandbox. The conduct of the participants in the sandbox should be taken into account when competent authorities decide whether to impose an administrative fine under Article 83(2) of Regulation 2016/679 and Article 57 of Directive 2016/680.",0.8689,ALIGNED,"ITI's pre-proposal text emphasizes the importance of enabling AI's economic and social benefits, particularly for SMEs, and avoiding overly restrictive regulation — a position that aligns with Recital 72's focus on fostering AI innovation through regulatory sandboxes and reducing barriers for SMEs and start-ups."
Fair Trials,302540016347-29,0,feedback,hys_feedback,2020-09-10,,"These tools intend to pursue legitimate objectives of preventing, or reducing harm,10but there are serious concerns that these systems single-out individuals as ‘pre-criminals’, who are subject to police interventions even though they are not formally suspected of any crime, and there is no evidence that they have done anything wrong.11 It is of further concern that these types of predictive policing tools do not necessarily designate individuals’ risk levels on the basis of their past actions, or behaviour that can be regarded as ‘suspicious’ in any way, but on account of factors far beyond their control, and immutable characteristics. In particular, there is strong evidence to suggest that AI systems have a tendency to overestimate the risks of criminality of certain ethnic and racial groups",recital,38,,"recital 38
Actions by law enforcement authorities involving certain uses of AI systems are characterised by a significant degree of power imbalance and may lead to surveillance, arrest or deprivation of a natural person’s liberty as well as other adverse impacts on fundamental rights guaranteed in the Charter. In particular, if the AI system is not trained with high quality data, does not meet adequate requirements in terms of its accuracy or robustness, or is not properly designed and tested before being put on the market or otherwise put into service, it may single out people in a discriminatory or otherwise incorrect or unjust manner. Furthermore, the exercise of important procedural fundamental rights, such as the right to an effective remedy and to a fair trial as well as the right of defence and the presumption of innocence, could be hampered, in particular, where such AI systems are not sufficiently transparent, explainable and documented. It is therefore appropriate to classify as high-risk a number of AI systems intended to be used in the law enforcement context where accuracy, reliability and transparency is particularly important to avoid adverse impacts, retain public trust and ensure accountability and effective redress. In view of the nature of the activities in question and the risks relating thereto, those high-risk AI systems should include in particular AI systems intended to be used by law enforcement authorities for individual risk assessments, polygraphs and similar tools or to detect the emotional state of natural person, to detect ‘deep fakes’, for the evaluation of the reliability of evidence in criminal proceedings, for predicting the occurrence or reoccurrence of an actual or potential criminal offence based on profiling of natural persons, or assessing personality traits and characteristics or past criminal behaviour of natural persons or groups, for profiling in the course of detection, investigation or prosecution of criminal offences, as well as for crime analytics regarding natural persons. AI systems specifically intended to be used for administrative proceedings by tax and customs authorities should not be considered high-risk AI systems used by law enforcement authorities for the purposes of prevention, detection, investigation and prosecution of criminal offences.",0.8689,ALIGNED,"Both the Fair Trials source text and Recital 38 share concerns about AI systems in law enforcement singling out individuals unjustly (including on discriminatory bases), and the recital directly references the fundamental procedural rights — such as the right to a fair trial and effective remedy — that Fair Trials advocates protecting through requirements for intelligibility, reasoning, and human oversight of AI decisions."
Information Technology Industry Council ITI,061601915428-87,0,feedback,hys_feedback,2020-09-10,,"as frame concepts and recommended practices to develop trustworthy AI applications that consider privacy, cybersecurity, safety, reliability, and interoperability through processes of voluntary, global and industry-led standardisation. When it comes to regulation, we believe that new legislation should be considered only where legislative gaps are clearly identified. For this reason, we caution against horizontal regulatory solutions, as proposed in Sub-option 3c, which would result in overly stringent requirements and ultimately slow down the adoption of AI and possibly hinder innovation. At the same time, we welcome the consideration of risk as the key factor in defining the scope as proposed by Sub-options 3a and 3b. However, we urge the Commission to carefully consider the definition of high-risk considering use case, complexity of the AI system, probability of worst-case occurrence, irreversibility, scope of harm in worst case scenario and sector. *** 11",article,6,,"article 6
Classification rules for high-risk AI systems 1.Irrespective of whether an AI system is placed on the market or put into service independently from the products referred to in points (a) and (b), that AI system shall be considered high-risk where both of the following conditions are fulfilled: (a)the AI system is intended to be used as a safety component of a product, or is itself a product, covered by the Union harmonisation legislation listed in Annex II; (b)the product whose safety component is the AI system, or the AI system itself as a product, is required to undergo a third-party conformity assessment with a view to the placing on the market or putting into service of that product pursuant to the Union harmonisation legislation listed in Annex II. 2.In addition to the high-risk AI systems referred to in paragraph 1, AI systems referred to in Annex III shall also be considered high-risk.",0.8689,OPPOSING,"ITI's pre-proposal text explicitly cautions against horizontal regulatory solutions with stringent ex-ante requirements (referencing Sub-option 3c), whereas Article 6 establishes mandatory classification rules and third-party conformity assessments for high-risk AI systems, directly implementing the kind of prescriptive regulatory framework ITI opposed."
DIGITALEUROPE,64270747023-20,6,feedback,hys_feedback,2020-09-10,,"4 the Medical Devices Regulation in the healthcare sector, or the Type-Approval process for vehicles). In areas where the potential risk is however more of a nature to damage or restrict fundamental rights (e.g. privacy, discrimination) an approach combining principle-based internal governance processes, industry best practices (including standardisation where possible), and ex-post monitoring. This is because those risks are far more dependent on the context and specificities of the use case given the existing and technology neutral EU acquis, it will often also be much more a matter of interpretation and application of existing legislation. For example, a case of discriminatory bias may entail many different factors to take into consideration: the training data set, how the algorithm was tested, how the deployer chose to implement and use the AI system to assist its decision- making and, potentially, which parameters the deployer adjusted or finetuned. Those factors cannot be easily made subject to ex-ante requirements, thresholds or technology standards. Rather, these types of harm are better mitigated and prevented through information and communication between developer and deployer, best practices for testing and upkeep of the AI system, and appropriate transparency towards users and regulators",recital,45,,"recital 45
For the development of high-risk AI systems, certain actors, such as providers, notified bodies and other relevant entities, such as digital innovation hubs, testing experimentation facilities and researchers, should be able to access and use high quality datasets within their respective fields of activities which are related to this Regulation. European common data spaces established by the Commission and the facilitation of data sharing between businesses and with government in the public interest will be instrumental to provide trustful, accountable and non-discriminatory access to high quality data for the training, validation and testing of AI systems. For example, in health, the European health data space will facilitate non-discriminatory access to health data and the training of artificial intelligence algorithms on those datasets, in a privacy-preserving, secure, timely, transparent and trustworthy manner, and with an appropriate institutional governance. Relevant competent authorities, including sectoral ones, providing or supporting the access to data may also support the provision of high-quality data for the training, validation and testing of AI systems.",0.8689,NOISE,"While both texts reference the healthcare/medical sector and high-risk AI, DIGITALEUROPE's pre-proposal text focuses on governance approaches and conformity assessments for high-risk AI applications, whereas Recital 45 addresses data access and sharing frameworks (e.g., European health data space) for training AI systems — a different regulatory dimension with only topical overlap."
Center for Data Innovation,367682319221-26,3,feedback,hys_feedback,2020-09-10,,"undocumented decision-making processes. Therefore, it is unclear why AI-specific rules are necessary. With respect to product safety, the Commission notes that AI systems may not be covered by product safety legislation because some software is not explicitly covered by EU product safety legislation. But this is a problem that applies to all software-based systems, not just AI systems. Likewise, the argument that software updates may alter the performance of AI systems and thus require multiple conformance tests over the product life cycle applies to all software-based systems. Regulators should not seek to have one set of rules for AI-based systems and another for non-AI-based ones. Finally, the Commission has not shown that liability questions about harms caused by software- based safety defects are any different for AI systems than for non-AI systems. If there are deficiencies in the EU’s laws on product safety and liability, these should be addressed in a technology-neutral manner. Since the Commission has not established the need for new rules targeting AI, it should not create them. Creating AI-specific regulations signals to consumers that the technology should be viewed with suspicion (thereby limiting demand), while the regulations themselves can make it harder and more expensive for companies to bring AI solutions to market (thereby limiting supply)",recital,63,,"recital 63
It is appropriate that, in order to minimise the burden on operators and avoid any possible duplication, for high-risk AI systems related to products which are covered by existing Union harmonisation legislation following the New Legislative Framework approach, the compliance of those AI systems with the requirements of this Regulation should be assessed as part of the conformity assessment already foreseen under that legislation. The applicability of the requirements of this Regulation should thus not affect the specific logic, methodology or general structure of conformity assessment under the relevant specific New Legislative Framework legislation. This approach is fully reflected in the interplay between this Regulation and the [Machinery Regulation]. While safety risks of AI systems ensuring safety functions in machinery are addressed by the requirements of this Regulation, certain specific requirements in the [Machinery Regulation] will ensure the safe integration of the AI system into the overall machinery, so as not to compromise the safety of the machinery as a whole. The [Machinery Regulation] applies the same definition of AI system as this Regulation.",0.8688,OPPOSING,"The Center for Data Innovation argues against AI-specific regulations, contending that AI does not require an entirely new regulatory approach, while Recital 63 establishes a dedicated conformity assessment framework specifically for high-risk AI systems under the AI Act, integrating but extending beyond existing product safety legislation."
Fair Trials,302540016347-29,0,feedback,hys_feedback,2020-09-10,,"Given these extremely serious risks, strong regulatory frameworks are needed to govern the use of AI in criminal justice decision-making and, which in some circumstances, may restrict its use entirely. We believe that unless it is subject to robust regulation, it is unlikely that AI can be used in criminal justice systems without undermining the right to a fair trial. There is a need for clear and enforceable standards and safeguards to protect the right to a fair trial, as well as preventing discrimination in the criminal justice system. Issues with the existing EU legal framework In theory, existing EU data protection laws restrict the use of automated decisions, but there are gaps and ambiguities that could result in the use of AI systems in ways that undermine human rights. The current legal framework governing the use of automated decision-making systems do not sufficiently protect individuals, such as those engaged with the criminal justice system, from the systems or the decisions they produce or influence. Existing EU laws intend to restrict the use of automated decisions, with Article 22 of the General Data Protection Regulation (‘GDPR’) providing that data subjects have the right not to be subject to decisions ‘solely’ based on automated processes, where they produce ‘legal effects’ concerning them, or where they ‘similarly significantly affect’ them",recital,23,,"recital 23
The use of AI systems for ‘real-time’ remote biometric identification of natural persons in publicly accessible spaces for the purpose of law enforcement necessarily involves the processing of biometric data. The rules of this Regulation that prohibit, subject to certain exceptions, such use, which are based on Article 16 TFEU, should apply as lex specialis in respect of the rules on the processing of biometric data contained in Article 10 of Directive (EU) 2016/680, thus regulating such use and the processing of biometric data involved in an exhaustive manner. Therefore, such use and processing should only be possible in as far as it is compatible with the framework set by this Regulation, without there being scope, outside that framework, for the competent authorities, where they act for purpose of law enforcement, to use such systems and process such data in connection thereto on the grounds listed in Article 10 of Directive (EU) 2016/680. In this context, this Regulation is not intended to provide the legal basis for the processing of personal data under Article 8 of Directive 2016/680. However, the use of ‘real-time’ remote biometric identification systems in publicly accessible spaces for purposes other than law enforcement, including by competent authorities, should not be covered by the specific framework regarding such use for the purpose of law enforcement set by this Regulation. Such use for purposes other than law enforcement should therefore not be subject to the requirement of an authorisation under this Regulation and the applicable detailed rules of national law that may give effect to it.",0.8688,NOISE,"While both texts relate to AI regulation in criminal justice contexts, Fair Trials' pre-proposal text focuses broadly on the need for strong regulatory frameworks to protect the right to a fair trial and prevent discrimination in AI-driven criminal justice decision-making, whereas Recital 23 narrowly addresses the specific legal basis and lex specialis framework for real-time remote biometric identification in public spaces — the overlap is topical but the specific substantive positions do not align or conflict."
Information Technology Industry Council ITI,061601915428-87,0,feedback,hys_feedback,2020-09-10,,"More specifically, we urge policymakers to consider the following specifications for high-risk AI applications in order to build on the White Paper’s differentiation also mentioned in the IIA, and ensure for the development of principles-based rules: - Specify what constitutes high-risk AI applications based on probability and irreversibility: To ensure proportionality, the definition should be augmented to better reflect well-established interpretations of risk as a function of severity and likelihood. For example, high-risk could be defined as AI systems that either (a) may cause catastrophic irreversible harm and there is a possibility that such harm may occasionally occur, and (b) may cause serious harm and such harm is probable. More clearly reflecting a nuanced understanding of high-risk within the framework would make clear that the objective of the framework is to mitigate harm for (a) and reduce the likelihood for (b). - Acknowledge and define AI’s opportunity costs: In several instances, using automated systems can greatly reduce risk. In air traffic control, using an automated tool paired with human oversight is an example of how AI can reduce risk as opposed to a situation in which air traffic controllers could make mistakes due to fatigue or distraction - factors that do not affect a machine. Analysis about the spread of pandemics is another example where limiting 8",article,6,,"article 6
Classification rules for high-risk AI systems 1.Irrespective of whether an AI system is placed on the market or put into service independently from the products referred to in points (a) and (b), that AI system shall be considered high-risk where both of the following conditions are fulfilled: (a)the AI system is intended to be used as a safety component of a product, or is itself a product, covered by the Union harmonisation legislation listed in Annex II; (b)the product whose safety component is the AI system, or the AI system itself as a product, is required to undergo a third-party conformity assessment with a view to the placing on the market or putting into service of that product pursuant to the Union harmonisation legislation listed in Annex II. 2.In addition to the high-risk AI systems referred to in paragraph 1, AI systems referred to in Annex III shall also be considered high-risk.",0.8688,OPPOSING,"ITI urged that high-risk AI be defined based on probability and irreversibility (severity and likelihood), whereas Article 6 classifies high-risk AI systems based on their use as safety components in products subject to third-party conformity assessments under Union harmonisation legislation, without adopting the principles-based, risk-function definition ITI advocated for."
Bundesverband der Deutschen Industrie,1771817758-48,0,feedback,hys_feedback,2020-09-10,,"This raises the question of the cycles in which a conformity assessment should be carried out. Conformity assessment at each update would not be practical and would significantly limit the uptake of AI. Ac- cording to current regulation, a renewed conformity assessment is only nec- essary if fundamental safety-relevant parameters of the product change. A comparable scheme can also be applied with regard to self-learning systems or software updates. At this point, a clear definition of the risk-relevant pa- rameters is required, whose change makes a renewed conformity assessment necessary. Strengthening audit and assessment capacity In order to be able to introduce and carry out proper and independent audits, the existing authorities, institutions and agencies must be given the necessary human, technical and financial resources. The assessment of many AI appli- cations will require the cooperation of different bodies, e.g. in cancer detec- tion, where image evaluation algorithms, mathematical models, laboratory tests and data from the operating theatre will merge. In addition, test scenar- ios, methods and standards must be developed to ensure the security of the Page 10 of 12 www.bdi.eu",recital,62,,"recital 62
In order to ensure a high level of trustworthiness of high-risk AI systems, those systems should be subject to a conformity assessment prior to their placing on the market or putting into service.",0.8688,OPPOSING,"The BDI argues that conformity assessments should not be required at every update and should only be triggered by changes to fundamental safety-relevant parameters, whereas Recital 62 mandates a conformity assessment prior to placing high-risk AI systems on the market or putting them into service, implying a broader and more stringent assessment requirement that conflicts with BDI's position for a more limited, change-triggered approach."
BEUC - The European Consumers Voice,9505781573-45,0,feedback,hys_feedback,2020-09-09,,"Such safeguards should be ensured to anyone who is affected by an ADM system. To ensure a trustworthy development of AI technologies, the White Paper refers to the non- legally binding requirements stipulated by the Ethical Guidelines of the AI HLEG: human agency and oversight; technical robustness and safety; privacy and data governance; transparency; diversity, non-discrimination and fairness; societal and environmental wellbeing; accountability. Although these points certainly contribute to shape more trustworthy technologies, these guidelines are not legally binding. To date, there is no specific legal framework at EU level aimed at regulating AI. That being said, AI applications are in certain instances already subject to a range of existing laws (e.g. data protection and consumer protection legislation), as it happens with any other products or services falling into the scope of such laws. For example, 8 Vieth, Kilian; Wagner, Ben: Teilhabe, ausgerechnet (2017), URL: https://www.bertelsmann- stiftung.de/de/publikationen/publikation/did/teilhabe-ausgerechnet [16.04.2019]. 9 https://www.vzbv.de/sites/default/files/2019_vzbv_factsheet_artificial_intelligence.pdf 7",recital,39,,"recital 39
AI systems used in migration, asylum and border control management affect people who are often in particularly vulnerable position and who are dependent on the outcome of the actions of the competent public authorities. The accuracy, non-discriminatory nature and transparency of the AI systems used in those contexts are therefore particularly important to guarantee the respect of the fundamental rights of the affected persons, notably their rights to free movement, non-discrimination, protection of private life and personal data, international protection and good administration. It is therefore appropriate to classify as high-risk AI systems intended to be used by the competent public authorities charged with tasks in the fields of migration, asylum and border control management as polygraphs and similar tools or to detect the emotional state of a natural person; for assessing certain risks posed by natural persons entering the territory of a Member State or applying for visa or asylum; for verifying the authenticity of the relevant documents of natural persons; for assisting competent public authorities for the examination of applications for asylum, visa and residence permits and associated complaints with regard to the objective to establish the eligibility of the natural persons applying for a status. AI systems in the area of migration, asylum and border control management covered by this Regulation should comply with the relevant procedural requirements set by the Directive 2013/32/EU of the European Parliament and of the Council , the Regulation (EC) No 810/2009 of the European Parliament and of the Council and other relevant legislation.",0.8687,ALIGNED,"BEUC's pre-proposal text advocates for legally binding safeguards (including transparency, non-discrimination, and human oversight) for anyone affected by ADM/AI systems, which aligns with Recital 39's classification of migration/asylum/border control AI systems as high-risk, precisely because of the need to guarantee fundamental rights including non-discrimination, transparency, and protection of personal data for vulnerable affected persons."
Ibec,479468313744-50,1,feedback,hys_feedback,2020-09-10,,"• Deploy appropriate supports to people whose current jobs may be transformed or eliminated by technological change, with a focus on training, career guidance and social safeguards. • Promote the EU as a location for mobile AI talent. • General awareness and understanding of AI should be promoted too. While digital skills will be important to our workforce, this aspect is important for all citizens and inclusion in an AI-empowered economy and society. • Provide appropriate education and supports for those regulating and enforcing laws regarding the use of AI across various sectors, so that the legal infrastructures and citizen rights are robust and proportionate. • Provide appropriate education regarding the regulatory environment for innovators and educators regarding the use of AI across various sectors, to foster trust and understanding, and avoid unnecessary setbacks through a lack of understanding of the relevant laws or failure to comply with such laws. Focus on SMEs The proposed actions (4D18) for SMEs and start-ups are very important and welcome. The EU approach must enable smarter entrepreneurship. The implementation of AI-based solutions across all sectors is where the real economic benefits will be found. Recommendations • Focus on enhancing comparative strengths. • Encourage enterprise in developing, adopting and deploying AI applications. Different sectors, organisations and individuals may be at different stages in their understanding and adoption of AI",recital,72,,"recital 72
The objectives of the regulatory sandboxes should be to foster AI innovation by establishing a controlled experimentation and testing environment in the development and pre-marketing phase with a view to ensuring compliance of the innovative AI systems with this Regulation and other relevant Union and Member States legislation; to enhance legal certainty for innovators and the competent authorities’ oversight and understanding of the opportunities, emerging risks and the impacts of AI use, and to accelerate access to markets, including by removing barriers for small and medium enterprises (SMEs) and start-ups. To ensure uniform implementation across the Union and economies of scale, it is appropriate to establish common rules for the regulatory sandboxes’ implementation and a framework for cooperation between the relevant authorities involved in the supervision of the sandboxes. This Regulation should provide the legal basis for the use of personal data collected for other purposes for developing certain AI systems in the public interest within the AI regulatory sandbox, in line with Article 6(4) of Regulation (EU) 2016/679, and Article 6 of Regulation (EU) 2018/1725, and without prejudice to Article 4(2) of Directive (EU) 2016/680. Participants in the sandbox should ensure appropriate safeguards and cooperate with the competent authorities, including by following their guidance and acting expeditiously and in good faith to mitigate any high-risks to safety and fundamental rights that may arise during the development and experimentation in the sandbox. The conduct of the participants in the sandbox should be taken into account when competent authorities decide whether to impose an administrative fine under Article 83(2) of Regulation 2016/679 and Article 57 of Directive 2016/680.",0.8687,NOISE,"Both texts relate broadly to AI development and supporting businesses (including SMEs), but the organisation's pre-proposal text focuses on workforce skills, training, career guidance, and social safeguards for displaced workers, while the article is specifically about regulatory sandboxes for AI innovation compliance and market access — there is only topical overlap with no direct alignment or opposition."
