amendment_number,document_id,target_element,authors,diff_type,diff_summary,justification,themes_ai,themes_regex
145,ITRE-AM-746920,Recital 19,Evžen Tošenovský,modification,"CHANGED: '(19)Certain tasks provided for in this Regulation should be carried out by ENISA, in accordance with Article 3(2) of Reg' -> '(19)CSIRTsshould' | CHANGED: 'ofactively exploited vulnerabilities contained in products with digital elements, as well asincidents' -> 'of incidents' | CHANGED: 'products.ENISAshould' -> 'products.CSIRTsshould' | CHANGED: 'notificationsto the relevant Computer Security Incident Response Teams (CSIRTs) or, respectively,to' -> 'notifications to' | CHANGED: 'Direc",,vulnerability_disclosure_and_incident_reporting,scope_and_product_coverage; essential_cybersecurity_requirements; vulnerability_disclosure_and_incident_reporting; market_surveillance_and_enforcement; interface_with_sectoral_legislation
146,ITRE-AM-746920,Recital 19,Beatrice Covassi; Robert Hajšel; Patrizia Toia; Lina Gálvez Muñoz; Carlos Zorrinho,modification,ADDED: 'ENISA should ensure the confidentiality of these notifications with particular regard to vulnerabilities for which a sec',,vulnerability_disclosure_and_incident_reporting,scope_and_product_coverage; essential_cybersecurity_requirements; support_period_and_lifecycle_obligations; vulnerability_disclosure_and_incident_reporting; market_surveillance_and_enforcement; interface_with_sectoral_legislation
147,ITRE-AM-746920,Recital 19 a (new),Henna Virkkunen; Sara Skyttedal; Ivan Štefanec; Tomas Tobé; Adam Jarubas,insertion,"NEW: (19a)ENISA should publish and maintain a known exploited vulnerability catalogue that should be included in the European vulnerability database established under Directive 2022/2555 (NIS2). The catalogue should assist manufacturers in detecting known exploitable vulnerabilities and notify vulnerabilities found in their products, in order to ensure that secure products are placed on the market.",,vulnerability_disclosure_and_incident_reporting,essential_cybersecurity_requirements; vulnerability_disclosure_and_incident_reporting; interface_with_sectoral_legislation
148,ITRE-AM-746920,Recital 22,Evžen Tošenovský,modification,"CHANGED: 'modified, by' -> 'modified,beyond necessary maintenance or security update,by' | CHANGED: 'means,in a way that is not foreseenby' -> 'means, by' | CHANGED: 'andthat may imply that they no longer meetthe' -> 'andresults in modification of the product’s fundamental functions or its intended use and thus significantly affectsthe' | CHANGED: 'substantial.For example, software updates or repairs could be assimilated to maintenance operations provided that they d' -> 'substantial.'",,essential_cybersecurity_requirements; scope_and_product_coverage,scope_and_product_coverage; essential_cybersecurity_requirements; support_period_and_lifecycle_obligations
149,ITRE-AM-746920,Recital 22,Nicola Danti,modification,CHANGED: 'changed. As' -> 'changed.Modifications to open source software aimed at fixing vulnerabilities or improving performance should not not be',,essential_cybersecurity_requirements; scope_and_product_coverage,scope_and_product_coverage; essential_cybersecurity_requirements; open_source_software_treatment
150,ITRE-AM-746920,Recital 22,Ignazio Corrao,modification,"CHANGED: 'repairs could' -> 'repairssuch as minor adjustment of the source code that can improve the security and functioning,could'",,essential_cybersecurity_requirements; scope_and_product_coverage,scope_and_product_coverage; essential_cybersecurity_requirements
151,ITRE-AM-746920,Recital 23,Evžen Tošenovský,modification,"CHANGED: 'occursthat may affect the compliance of a product with this Regulation or when the intended purpose of that product chan' -> 'occurs,' | CHANGED: 'undergoesanew' -> 'undergoesan updated conformity assessment focusing on the modified elements ornew'",,scope_and_product_coverage,scope_and_product_coverage; conformity_assessment_and_third_party_verification
152,ITRE-AM-746920,Recital 24 a (new),Ignazio Corrao,insertion,"NEW: (24a)Manufacturers of products with digital elements should ensure that software updates are provided in a clear and transparent way and clearly differentiate between security and functionality updates. Whilst security updates are designed to decrease the level of risk of a product with digital elements, the uptake of functionality updates provided by the manufacturer should always remain a user c",,support_period_and_lifecycle_obligations,scope_and_product_coverage; support_period_and_lifecycle_obligations
153,ITRE-AM-746920,Recital 24 a (new),Marc Botenga,insertion,"NEW: (24a)Manufacturers of products with digital elements shall provide software updates in a clear and transparent way in order to enhance the security protection and the functionality of the products, during the entire duration of the product's expected lifetime. Functionality and security updates shall be differentiated and users shall be clearly informed by the manufacturers regarding the nature an",,support_period_and_lifecycle_obligations,scope_and_product_coverage; support_period_and_lifecycle_obligations
154,ITRE-AM-746920,Recital 25,Ignazio Corrao,modification,"CHANGED: 'functionality,orthe' -> 'functionality, the' | CHANGED: 'use.' -> 'useor the size of market penetration of a particular product.' | CHANGED: 'chain.' -> 'chainor society.' | CHANGED: 'functions,such as processing of personal data.' -> 'functions,impacting health, safety or fundamental rights.'",,scope_and_product_coverage; conformity_assessment_and_third_party_verification,scope_and_product_coverage; essential_cybersecurity_requirements; supply_chain_security_obligations; interface_with_sectoral_legislation
155,ITRE-AM-746920,Recital 26,Matteo Gazzini; Paolo Borchia; Isabella Tovaglieri; Elena Lizzi; Matteo Adinolfi,modification,CHANGED: 'procedure.' -> 'procedure.Periodical checks should be carried out to ensure that the list of critical products with digital elements is ',,conformity_assessment_and_third_party_verification,scope_and_product_coverage; conformity_assessment_and_third_party_verification
156,ITRE-AM-746920,Recital 26,Marc Botenga,modification,"CHANGED: 'stricter conformity' -> 'stricterthird-partyconformity' | CHANGED: 'procedures,while keeping a proportionate approach.' -> 'procedures,certified by the relevant EU and Member States' authorities.'",,conformity_assessment_and_third_party_verification,scope_and_product_coverage; conformity_assessment_and_third_party_verification
157,ITRE-AM-746920,Recital 26,Evžen Tošenovský,modification,"CHANGED: 'insensitiveenvironments,' -> 'inhighly criticalenvironments,'",,conformity_assessment_and_third_party_verification,scope_and_product_coverage; conformity_assessment_and_third_party_verification
158,ITRE-AM-746920,Recital 28,Ignazio Corrao,modification,"CHANGED: 'not related' -> 'notalwaysrelated' | CHANGED: 'cybersecurity.' -> 'cybersecuritybut can be a consequence of a security breach.' | CHANGED: 'legislation.' -> 'legislationas a rule if a higher level of protection is conferred. If not, safety risks in connection with the cybersecu'",,interface_with_sectoral_legislation,scope_and_product_coverage
159,ITRE-AM-746920,Recital 30,Ignazio Corrao,deletion,"DELETED: (30)The machinery products falling within the scope of Regulation [Machinery Regulation proposal] which are products with digital elements within the meaning of this Regulation and for which a declaration of conformity has been issued on the basis of this Regulation should be deemed to be in conformity with the essential health and safety requirements set out in [Annex III, sections 1.1.9 and 1.2.",,interface_with_sectoral_legislation; conformity_assessment_and_third_party_verification,scope_and_product_coverage
160,ITRE-AM-746920,Recital 31,Ignazio Corrao,modification,"CHANGED: 'Regulation.Their' -> 'Regulationandtheir' | CHANGED: 'byRegulation [European Health Data SpaceRegulationproposal].' -> 'bythisRegulation.' | CHANGED: 'acts.As this Regulation does not cover SaaS as such,' -> 'acts.' | REMOVED: 'systems offered through the SaaS licensing and delivery model are not within the scope of this Regulation. Similarly,EHR'",,interface_with_sectoral_legislation,scope_and_product_coverage; essential_cybersecurity_requirements
161,ITRE-AM-746920,Recital 32,Evžen Tošenovský,modification,"CHANGED: 'handlingand ensure that all their products are delivered without any known exploitable vulnerabilities,' -> 'handling,' | CHANGED: 'product.' -> 'product, they should for instance ensure that all their products are delivered without any known patched vulnerabilities' | CHANGED: 'harmonised standardsor common specifications.' -> 'harmonisedor internationalstandards.'",,essential_cybersecurity_requirements; support_period_and_lifecycle_obligations,scope_and_product_coverage; essential_cybersecurity_requirements; support_period_and_lifecycle_obligations; standardisation_and_harmonised_standards
162,ITRE-AM-746920,Recital 32,Henna Virkkunen; Sara Skyttedal; Ivan Štefanec; Tomas Tobé; Angelika Niebler,modification,"CHANGED: 'anyknownexploitable vulnerabilities,' -> 'any exploitable vulnerabilitiesknown to them,'",,essential_cybersecurity_requirements; support_period_and_lifecycle_obligations,scope_and_product_coverage; essential_cybersecurity_requirements; standardisation_and_harmonised_standards
163,ITRE-AM-746920,Recital 32 a (new),Ignazio Corrao,insertion,"NEW: (32a)In order to ensure the products are designed, developed and produced in line with essential requirements foreseen in Section 1 of Annex I, manufacturers should exercise due diligence when integrating components sourced from third parties in products with digital elements. Given that such components are tailored to and integrated taken into account the specificities of the product, in particul",,supply_chain_security_obligations; open_source_software_treatment,scope_and_product_coverage; essential_cybersecurity_requirements; open_source_software_treatment; supply_chain_security_obligations
164,ITRE-AM-746920,Recital 34,Evžen Tošenovský,modification,"CHANGED: 'Directive[Directive XX/XXXX (NIS2)]are' -> 'Directive(EU) 2022/2555are' | CHANGED: 'toENISAvulnerabilitiesthat are being actively exploited.' -> 'toCSIRTs all fixedvulnerabilities, and on a voluntary basis also unpatched vulnerabilities.' | CHANGED: 'shouldalso consider disclosingfixed' -> 'shouldtherefore disclosefixed' | CHANGED: 'Directive[Directive XX/XXXX (NIS2)]and' -> 'Directive(EU) 2022/2555and' | CHANGED: 'ENISAor' -> 'ENISA. Manufacturers should also benefit from coordinatedv",,vulnerability_disclosure_and_incident_reporting; interface_with_sectoral_legislation,scope_and_product_coverage; essential_cybersecurity_requirements; vulnerability_disclosure_and_incident_reporting; market_surveillance_and_enforcement; interface_with_sectoral_legislation
165,ITRE-AM-746920,Recital 34 a (new),Bart Groothuis,insertion,"NEW: (34a)Dependencies on high-risk suppliers of critical products with digital elements intended for the use by essential entities of the type referred to in [Annex I to the Directive XXX/XXXX (NIS2)] pose a strategic risk that needs to be mitigated at Union level. To mitigate this strategic risk there is a need to move beyond non-binding initiatives, such as the 5G toolbox, and move towards a binding","The CRA has a missed opportunity to not address the issue of risky vendors, especially in the context of critical infrastructure. While there have been positive developments towards non-binding toolbo",supply_chain_security_obligations; interface_with_sectoral_legislation,scope_and_product_coverage; conformity_assessment_and_third_party_verification; supply_chain_security_obligations; interface_with_sectoral_legislation
166,ITRE-AM-746920,Recital 35,Ignazio Corrao,modification,"CHANGED: 'directly.' -> 'directly.Manufacturers that identify vulnerability in a component integrated in a product with digital elements, includi'",,vulnerability_disclosure_and_incident_reporting; interface_with_sectoral_legislation,scope_and_product_coverage; essential_cybersecurity_requirements; vulnerability_disclosure_and_incident_reporting; open_source_software_treatment; market_surveillance_and_enforcement; interface_with_sectoral_legislation
167,ITRE-AM-746920,Recital 35,Evžen Tošenovský,modification,"CHANGED: 'toENISA anyincident' -> 'toCSIRTs any significantincident' | CHANGED: 'elements.' -> 'elements, and on a voluntary basis any other incident, near miss or cyber threat.' | CHANGED: 'Directive[Directive XXX/XXXX (NIS2)]for' -> 'Directive(EU) 2022/2555for' | CHANGED: 'for ENISA,' -> 'forCSIRT,ENISA,' | CHANGED: 'designatedby the Member Statesin' -> 'designated in'",,vulnerability_disclosure_and_incident_reporting; interface_with_sectoral_legislation,scope_and_product_coverage; vulnerability_disclosure_and_incident_reporting; market_surveillance_and_enforcement; interface_with_sectoral_legislation
168,ITRE-AM-746920,Recital 35 a (new),Evžen Tošenovský,insertion,"NEW: (35a)The manufacturers of products with digital elements are often in a situation where a particular incident, because of its features, needs to be reported to various authorities as a result of notification obligations included in various legal instruments. Such cases create additional burdens and may also lead to uncertainties with regard to the format and procedures of such notifications. In vi",,vulnerability_disclosure_and_incident_reporting,scope_and_product_coverage; vulnerability_disclosure_and_incident_reporting
169,ITRE-AM-746920,Recital 35 a (new),Angelika Niebler,insertion,"NEW: (35a)To minimise bureaucratic burden, especially on SMEs, there should be only two reporting stages after discovering an actively exploited vulnerability and the reportings should include only necessary information to make the competent authority aware of the incident and the measures taken and allow for the entity to seek assistance. The early warning after 24 hours should be seen as first notifi",,vulnerability_disclosure_and_incident_reporting; sme_and_proportionality,essential_cybersecurity_requirements; vulnerability_disclosure_and_incident_reporting; sme_and_proportionality
170,ITRE-AM-746920,Recital 35 a (new),Henna Virkkunen; Sara Skyttedal; Ivan Štefanec; Tomas Tobé; Angelika Niebler,insertion,"NEW: (35a)Reporting should be as convenient and efficient as possible. For this purpose, ENISA should provide for an online system into which all requested information can be inserted.",,vulnerability_disclosure_and_incident_reporting,vulnerability_disclosure_and_incident_reporting
171,ITRE-AM-746920,Recital 36,Matteo Gazzini; Paolo Borchia; Isabella Tovaglieri; Elena Lizzi; Matteo Adinolfi,modification,CHANGED: 'placecoordinatedvulnerability' -> 'place vulnerability' | CHANGED: 'policies to' -> 'policiesthat are coordinated in terms of frequency and timingto',,vulnerability_disclosure_and_incident_reporting,scope_and_product_coverage; essential_cybersecurity_requirements; vulnerability_disclosure_and_incident_reporting
172,ITRE-AM-746920,Recital 36,Evžen Tošenovský,modification,CHANGED: 'place coordinated' -> 'placeadditional owncoordinated',,vulnerability_disclosure_and_incident_reporting,scope_and_product_coverage; essential_cybersecurity_requirements; vulnerability_disclosure_and_incident_reporting
173,ITRE-AM-746920,Recital 37,Evžen Tošenovský,modification,CHANGED: 'including by' -> 'includingfor relevant software productsby' | CHANGED: 'materials.' -> 'materials(SBOMs).' | CHANGED: 'software bill of materialscan' -> 'SBOMcan',,supply_chain_security_obligations,scope_and_product_coverage; essential_cybersecurity_requirements; supply_chain_security_obligations
174,ITRE-AM-746920,Recital 38,Beatrice Covassi; Robert Hajšel; Patrizia Toia; Lina Gálvez Muñoz; Carlos Zorrinho,no_change,(identical),,,standardisation_and_harmonised_standards
175,ITRE-AM-746920,Recital 38 a (new),Evžen Tošenovský; Adam Bielan,insertion,"NEW: (38a)According to the WTO Agreement on Technical Barriers to Trade, when technical regulations are necessary and relevant international standards exist, WTO Members should use those standards as the basis for their own technical regulations. It is important to avoid duplication of work among standardisation organisations, as international standards are intended to facilitate the harmonisation of n",,standardisation_and_harmonised_standards,standardisation_and_harmonised_standards
176,ITRE-AM-746920,Recital 38 b (new),Evžen Tošenovský; Adam Bielan,insertion,"NEW: (38b)Considering the broad scope of this Regulation, the timely development of harmonised standards poses a significant challenge. To enhance the security of products with digital components in the Union market, international standards should be published as a standard providing presumption of conformity.",,standardisation_and_harmonised_standards; conformity_assessment_and_third_party_verification,scope_and_product_coverage; standardisation_and_harmonised_standards
177,ITRE-AM-746920,Recital 39,Christophe Grudler; Valérie Hayer,modification,CHANGED: 'schemescan coverproductswith digital elements covered by this Regulation.' -> 'schemesthus provide a common framework of trust for users to use ICTproductsby assessing their level of cybersecurity.' | CHANGED: 'should create' -> 'shouldconsequentlycreate' | ADDED: 'Regulation (EU) 2019/881 should address products with critical cybersecurity aspects and this Regulation should be dedic' | CHANGED: 'the European cybersecurity certification schemesthat can be usedto' -> 'theuse ofEuropean ,"The CRA should be better linked to the Cyber Security Act (CSA) in order to avoid overlaps between the two texts. As the CSA lays down a more rigorous cybersecurity assessment framework, it should add",conformity_assessment_and_third_party_verification; standardisation_and_harmonised_standards,scope_and_product_coverage; essential_cybersecurity_requirements; conformity_assessment_and_third_party_verification
178,ITRE-AM-746920,Recital 41,Evžen Tošenovský; Adam Bielan,deletion,"DELETED: (41)Where no harmonised standards are adopted or where the harmonised standards do not sufficiently address the essential requirements of this Regulation, the Commission should be able to adopt common specifications by means of implementing acts. Reasons for developing such common specifications, instead of relying on harmonised standards, might include a refusal of the standardisation request by ",,standardisation_and_harmonised_standards,scope_and_product_coverage; essential_cybersecurity_requirements; standardisation_and_harmonised_standards
179,ITRE-AM-746920,Recital 41,Massimiliano Salini,modification,"CHANGED: 'Commission. In' -> 'Commission.When developing such common specifications, the Commission should take into consideration the relevant intern'","When adopting the common specifications, the Commission should refer to the already existing international standards that are mainly used in the market, instead of developing new ones.",standardisation_and_harmonised_standards,scope_and_product_coverage; essential_cybersecurity_requirements; standardisation_and_harmonised_standards
180,ITRE-AM-746920,Recital 41,Beatrice Covassi; Robert Hajšel; Patrizia Toia; Lina Gálvez Muñoz; Carlos Zorrinho,modification,"CHANGED: 'adopted or' -> 'adopted, and after taking in due consideration widely accepted international standards,or' | CHANGED: 'ofimplementingacts.' -> 'ofdelegatedacts.'",,standardisation_and_harmonised_standards,scope_and_product_coverage; essential_cybersecurity_requirements; standardisation_and_harmonised_standards
181,ITRE-AM-746920,Recital 45,Ignazio Corrao,modification,CHANGED: 'rule the' -> 'rulethe requirements forthe' | CHANGED: 'should be' -> 'shouldbe risk-based and to that regard in many cases the assessment couldbe',,conformity_assessment_and_third_party_verification,scope_and_product_coverage; essential_cybersecurity_requirements; conformity_assessment_and_third_party_verification; standardisation_and_harmonised_standards
182,ITRE-AM-746920,Recital 45,Evžen Tošenovský; Adam Bielan,modification,"CHANGED: 'athird-party.' -> 'athird party.' | CHANGED: 'standards,common specificationsor' -> 'standards,international standards,or' | CHANGED: 'standards,common specificationsor' -> 'standards,international standards,or'",,conformity_assessment_and_third_party_verification,scope_and_product_coverage; essential_cybersecurity_requirements; conformity_assessment_and_third_party_verification; standardisation_and_harmonised_standards
183,ITRE-AM-746920,Recital 53,Beatrice Covassi; Robert Hajšel; Patrizia Toia; Lina Gálvez Muñoz; Carlos Zorrinho,modification,"CHANGED: 'operators.' -> 'operators, in particular for micro, small, medium sized enterprises. In this regard, Member States, with the support of '",,conformity_assessment_and_third_party_verification; sme_and_proportionality,conformity_assessment_and_third_party_verification
184,ITRE-AM-746920,Recital 53,Henna Virkkunen; Sara Skyttedal; Ivan Štefanec; Tomas Tobé; Adam Jarubas,modification,"CHANGED: 'burdenforeconomic' -> 'burdenoneconomic' | ADDED: 'In order to ensure that notified bodies are able to perform their tasks efficiently, and to minimise possible impediment'",,conformity_assessment_and_third_party_verification,essential_cybersecurity_requirements; conformity_assessment_and_third_party_verification
185,ITRE-AM-746920,Recital 53 a (new),Henna Virkkunen; Sara Skyttedal; Ivan Štefanec; Tomas Tobé; Adam Jarubas,insertion,"NEW: (53a)In order to increase efficiency and transparency, the Commission should within 24 months from the entry into force of this Regulation, ensure that there is a sufficient number of notified bodies in the Union to carry out a conformity assessment, in order to avoid bottlenecks and hindrances to market entry.",,conformity_assessment_and_third_party_verification,conformity_assessment_and_third_party_verification
186,ITRE-AM-746920,Recital 56,Evžen Tošenovský,modification,CHANGED: '(ADCO) should' -> '(ADCO)for cyber resilience of products with digital elementsshould',,market_surveillance_and_enforcement,market_surveillance_and_enforcement
187,ITRE-AM-746920,Recital 57 a (new),Beatrice Covassi; Robert Hajšel; Patrizia Toia; Carlos Zorrinho,insertion,"NEW: (57a)In this framework, in order to provide updated information on the cyber security of critical products with digital elements, as defined in Annex III, the Commission should consider the adoption of measures aimed at informing the market on products that, according to Article 10 (6) of this Regulation, will not receive any further cyber security management.",,support_period_and_lifecycle_obligations; market_surveillance_and_enforcement,scope_and_product_coverage; conformity_assessment_and_third_party_verification
