id,component,ai_response_id,label,error_category,notes,labeled_at,relabel_round,meeting_text,meeting_date,procedure_id,procedure_title,match_confidence,matched_alias,org_stub_name,org_candidate_name,org_candidate_tr_id,org_country,org_category,org_fuzzy_score,ai_match_confidence,ai_reasoning,all_candidates_json,source_table
,org,org_6899b18b69730911,correct,,"auto:Same entity, only differing by the article 'The'.",2026-05-04T07:31:24.815846+00:00,1,,,,,,,Global Disinformation Index,The Global Disinformation Index,694578250006-38,United Kingdom,"Non-governmental organisations, platforms and networks and similar",n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_574bb61ac6b8f8f3,correct,,auto:Same Swedish trade union Vision.,2026-05-04T07:31:33.846889+00:00,1,,,,,,,Vision Trade Union Sweden,Trade union Vision,697408097191-86,Sweden,Trade unions and professional associations,n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_efa7343f434a0bdf,wrong,subsidiary_confusion,"auto:MENA refers to a regional office, not the global Amnesty International Limited entity.",2026-05-04T07:31:33.846889+00:00,1,,,,,,,Amnesty International MENA,Amnesty International Limited,11063928073-34,Belgium,"Non-governmental organisations, platforms and networks and similar",n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_9088b000bc039c9f,correct,,auto:Trivial wording variant of the same association (CLEPA).,2026-05-04T07:31:33.846889+00:00,1,,,,,,,European Association of Automotive Suppliers,European Association Automotive Suppliers,91408765797-03,Belgium,Trade and business associations,n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_f4a98d52aecbf47c,correct,,"auto:Same German cybersecurity agency, trivial article difference.",2026-05-04T07:31:33.846889+00:00,1,,,,,,,Agentur für Innovation in Cybersicherheit GmbH,Agentur für Innovation in der Cybersicherheit GmbH,666636798087-06,Germany,Companies & groups,n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_dc61971821ecce60,correct,,auto:Same Luxembourg postal entity.,2026-05-04T07:31:33.846889+00:00,1,,,,,,,Groupe POST Luxembourg,POST Luxembourg,761228138832-05,Luxembourg,Companies & groups,n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_db404955f90aa0c2,wrong,wrong_entity,"auto:Dublin ELI would be a separate hub/entity; ELI HQ is in Vienna, but stub specifies Dublin branch.",2026-05-04T07:31:33.846889+00:00,1,,,,,,,Dublin European Law Institute,European Law Institute,455458212010-50,Austria,"Non-governmental organisations, platforms and networks and similar",n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_7c455f63aadc7b60,correct,,"auto:Same Dutch universities association, just with legal form prefix.",2026-05-04T07:31:33.846889+00:00,1,,,,,,,Universiteiten van Nederland,Vereniging Universiteiten van Nederland,994694795829-46,Netherlands,"Non-governmental organisations, platforms and networks and similar",n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_6aaae68ccd398945,correct,,auto:Boehringer Ingelheim Pharma is part of the same group registered under Boehringer Ingelheim.,2026-05-04T07:31:33.846889+00:00,1,,,,,,,Boehringer Ingelheim Pharma,Boehringer Ingelheim,289777818743-24,Germany,Companies & groups,n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_a0009166f9258f2f,uncertain,,"auto:IRI is highly ambiguous (could be International Republican Institute, IRI flag registry, etc.).",2026-05-04T07:31:33.846889+00:00,1,,,,,,,IRI,"International Registries, Inc.",9791424103355-89,United States,Companies & groups,n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_3d8e6e60197369dd,correct,,auto:Acronym CIBE matches the full name of the same confederation.,2026-05-04T07:31:33.846889+00:00,1,,,,,,,C.I.B.E. - International Confederation of European Beet Growers,International Confederation of European Beet Growers,89930126483-54,Belgium,Trade unions and professional associations,n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_35ba8ab7f6cdd4f9,correct,,"auto:Same Italian dog defense organization, minor spelling/article differences.",2026-05-04T07:31:42.030864+00:00,1,,,,,,,Lega nazionale difesa cane,Lega Nazionale per la Difesa del Cane,574045139715-44,Italy,"Non-governmental organisations, platforms and networks and similar",n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_f69694db93490213,correct,,"auto:Same German public banks association, just genitive form and eV suffix.",2026-05-04T07:31:42.030864+00:00,1,,,,,,,Bundesverbands Öffentlicher Banken Deutschlands,Bundesverband Öffentlicher Banken Deutschlands eV,0767788931-41,Germany,Trade and business associations,n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_744ad5fcf67c52a6,correct,,auto:GENO Verband is a common short form of Genoverband e.V.,2026-05-04T07:31:42.030864+00:00,1,,,,,,,GENO Verband,Genoverband e.V.,262971415265-56,Germany,Trade and business associations,n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_a197b7d06897bfed,correct,,auto:AIMR is the acronym for the Romanian music industry association.,2026-05-04T07:31:42.030864+00:00,1,,,,,,,AIMR - Asociatia Industriei Muzicale din Romania,Asociatia Industriei Muzicale din Romania,884140944424-34,Romania,"Non-governmental organisations, platforms and networks and similar",n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_0bad1df0650b9827,correct,,auto:Stichting is the Dutch legal foundation form of the same entity.,2026-05-04T07:31:42.030864+00:00,1,,,,,,,Sustainable Finance Lab,Stichting Sustainable Finance Lab,118453295368-28,Netherlands,Think tanks and research institutions,n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_8c752f37da009269,correct,,"auto:Same entity, only differs by definite article.",2026-05-04T07:31:42.030864+00:00,1,,,,,,,The European Food Forum,European Food Forum,793227839090-06,Belgium,"Non-governmental organisations, platforms and networks and similar",n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_ce387ae3cb28e97b,uncertain,,"auto:FEB is highly ambiguous; could match many entities, unclear if Strasbourg bioethics forum is intended.",2026-05-04T07:31:42.030864+00:00,1,,,,,,,FEB,FORUM EUROPEEN DE BIOETHIQUE DE STRASBOURG,042845051910-44,France,"Other organisations, public or mixed entities",n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_7daf0e7e1fc6e04b,correct,,"auto:Same ECSA entity, only '&' vs 'and'.",2026-05-04T07:31:42.030864+00:00,1,,,,,,,European Composer & Songwriter Alliance,European Composer and Songwriter Alliance,71423433087-91,Belgium,"Non-governmental organisations, platforms and networks and similar",n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_81c4fb4fe0ddc868,correct,,"auto:Same UK Trades Union Congress, minor spelling variation.",2026-05-04T07:31:42.030864+00:00,1,,,,,,,Trade Unions Congress,Trades Union Congress (UK),77510791109-40,United Kingdom,Trade unions and professional associations,n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_4dc82667b021151a,wrong,wrong_entity,"auto:Amnesty International Egypt is a country section, not the same as Amnesty International Limited.",2026-05-04T07:31:42.030864+00:00,1,,,,,,,Amnesty International Égypte,Amnesty International Limited,11063928073-34,Belgium,"Non-governmental organisations, platforms and networks and similar",n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_7bfdc7098d4efe4f,correct,,auto:Same name with typo in stub.,2026-05-04T07:31:48.269739+00:00,0,,,,,,,Institue for Rational Addiction Policies - IRAP,Institute for Rational Addiction Policies,303897393127-14,Czech Republic,Think tanks and research institutions,n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_cb7539d0f6cb031a,correct,,auto:DIHK is the acronym for Deutsche Industrie- und Handelskammer.,2026-05-04T07:31:48.269739+00:00,0,,,,,,,DIHK- Deutsche Industrie- und Handelskammer,Deutsche Industrie- und Handelskammer,22400601191-42,Germany,"Other organisations, public or mixed entities",n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_8aee207e6a7244ab,correct,,auto:EPLO is the acronym for European Peacebuilding Liaison Office.,2026-05-04T07:31:48.269739+00:00,0,,,,,,,EPLO European Peacebuilding Liaison Office,European Peacebuilding Liaison Office,0878397912-17,Belgium,"Non-governmental organisations, platforms and networks and similar",n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_a3d38fc620899578,correct,,auto:AIM is the acronym for European Brands Association.,2026-05-04T07:31:48.269739+00:00,0,,,,,,,European Brands Association,AIM - European Brands Association,1074382679-01,Belgium,Trade and business associations,n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_7a8435feb0391acd,correct,,auto:LUKE is the acronym for Luonnonvarakeskus (Natural Resources Institute Finland).,2026-05-04T07:31:48.269739+00:00,0,,,,,,,LUKE Luonnonvarakeskus,Luonnonvarakeskus,315986753108-74,Finland,Think tanks and research institutions,n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_60d39932ddc6f513,correct,,auto:I/S is a Danish legal form prefix; same entity.,2026-05-04T07:31:48.269739+00:00,0,,,,,,,Vestforbrænding,I/S Vestforbrænding,0031947102898-32,Denmark,Companies & groups,n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_e85af051d6e68c4d,correct,,"auto:Same organisation (ERA), minor wording difference Regional vs Regions.",2026-05-04T07:31:48.269739+00:00,0,,,,,,,European Regional Airline Association Ltd.,European Regions Airline Association Ltd.,73491621553-11,United Kingdom,Trade and business associations,n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_a3bdc58ca2bc7aca,correct,,auto:Same entity with acronym ACRI in stub.,2026-05-04T07:31:48.269739+00:00,0,,,,,,,The Association for Civil Rights in Israel (ACRI),Association for Civil Rights in Israel,1449114102310-07,Israel,"Non-governmental organisations, platforms and networks and similar",n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_df7b88baa470df15,correct,,"auto:Same organisation, '&' vs 'and'.",2026-05-04T07:31:48.269739+00:00,0,,,,,,,Transport & Environment,Transport and Environment (European Federation for Transport and Environment),58744833263-19,Belgium,"Non-governmental organisations, platforms and networks and similar",n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_fba9099ca943a12b,correct,,auto:Stub refers to a representative of European Milk Board.,2026-05-04T07:31:48.269739+00:00,0,,,,,,,European milk board rep,European Milk Board,45338982456-46,Belgium,Trade unions and professional associations,n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_0aa86278a2a8efce,correct,,auto:Exact name match.,2026-05-04T07:31:54.968698+00:00,0,,,,,,,Federația Patronală a Energiei,FEDERATIA PATRONALA A ENERGIEI,106169195564-68,Romania,Trade and business associations,n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_1aefde31390f066a,correct,,auto:DIN e.V. is the standard short form of DIN Deutsches Institut für Normung e.V.,2026-05-04T07:31:54.968698+00:00,0,,,,,,,DIN e.V.,DIN Deutsches Institut für Normung e. V.,989808524267-58,Germany,"Other organisations, public or mixed entities",n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_f8f2e8dbbf0fb4bf,correct,,"auto:Same NGO, with/without legal suffix.",2026-05-04T07:31:54.968698+00:00,0,,,,,,,NGO Sea-Watch,Sea-Watch e.V.,599687051086-63,Germany,"Non-governmental organisations, platforms and networks and similar",n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_fc4bffa01326ea01,correct,,auto:DSV is the acronym for Deutsche Sozialversicherung Europavertretung.,2026-05-04T07:31:54.968698+00:00,0,,,,,,,Deutsche Sozialversicherung Europavertretung │ DSV,Deutsche Sozialversicherung Europavertretung,917393784-31,Germany,"Other organisations, public or mixed entities",n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_75cd13dd15f1e6c2,correct,,"auto:Same entity, acronym variant.",2026-05-04T07:31:54.968698+00:00,0,,,,,,,Deutsche Sozialversicherung Europavertretung - DSV,Deutsche Sozialversicherung Europavertretung,917393784-31,Germany,"Other organisations, public or mixed entities",n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_c3ee74c5a8d08327,correct,,auto:ISGlobal is the common brand for Instituto de Salud Global de Barcelona.,2026-05-04T07:31:54.968698+00:00,0,,,,,,,IS Global,Instituto de Salud Global de Barcelona,696990851758-92,Spain,Academic institutions,n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_ce5f926c403f2cee,correct,,auto:Same entity with acronym.,2026-05-04T07:31:54.968698+00:00,0,,,,,,,The European Biodiesel Board (EBB),European Biodiesel Board,84244281858-12,Belgium,Trade and business associations,n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_7412eb9fc26ea89c,correct,,auto:UNESID is the acronym for Unión de Empresas Siderúrgicas.,2026-05-04T07:31:54.968698+00:00,0,,,,,,,"UNESID, unión de empresas siderúrgicas",Unión de Empresas Siderúrgicas,44209611834-88,Spain,Trade and business associations,n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_fd410f7a4e9a2cce,correct,,auto:Acronym matches full name.,2026-05-04T07:31:54.968698+00:00,0,,,,,,,EACB - European Association of Co-operative Banks,European Association of Co-operative Banks,4172526951-19,Belgium,Trade and business associations,n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_243054e9eaa83638,uncertain,,auto:Stub 'ONE' is ambiguous but plausibly refers to The ONE Campaign; cannot confirm without context.,2026-05-04T07:31:54.968698+00:00,0,,,,,,,ONE,The ONE Campaign,26098317349-65,United States,"Non-governmental organisations, platforms and networks and similar",n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_eda1d4f9421fcd2b,correct,,auto:ISPCC is the acronym for The Irish Society for the Prevention of Cruelty to Children.,2026-05-04T07:32:02.740726+00:00,0,,,,,,,ISPCC Irish Society for the Prevention of Cruelty to Children,The Irish Society for the Prevention of Cruelty to Children,972053948548-14,Ireland,"Non-governmental organisations, platforms and networks and similar",n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_9ee18e3648649e28,wrong,subsidiary_confusion,"auto:BAT Italia is the Italian subsidiary, not the UK parent BAT.",2026-05-04T07:32:02.740726+00:00,0,,,,,,,British American Tobacco Italia,British American Tobacco,2427500988-58,United Kingdom,Companies & groups,n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_d88c90a97715fb7d,correct,,auto:ETUC is the standard acronym for European Trade Union Confederation.,2026-05-04T07:32:02.740726+00:00,0,,,,,,,European Trade Union Confederation ETUC,EUROPEAN TRADE UNION CONFEDERATION,06698681039-26,Belgium,Trade unions and professional associations,n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_851d16de6183fd44,correct,,"auto:Same Romanian organisation, just with 'Asociatia' (association) prefix.",2026-05-04T07:32:02.740726+00:00,0,,,,,,,Partida Romilor Pro Europa,Asociatia Partida Romilor Pro Europa,915170393448-47,Romania,"Non-governmental organisations, platforms and networks and similar",n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_031eb51fb7c18751,correct,,auto:Trivial typo/variant of FuelsEurope.,2026-05-04T07:32:02.740726+00:00,0,,,,,,,FuelEurope,FuelsEurope,26207914726-42,Belgium,Trade and business associations,n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_0315b34a5740fb44,correct,,auto:TEKO is the acronym for Sveriges Textil- och Modeföretag.,2026-05-04T07:32:02.740726+00:00,0,,,,,,,TEKO - Sveriges Textil och Modeföretag,Sveriges Textil- och Modeföretag,053277891671-57,Sweden,Trade and business associations,n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_46a396a1e3554265,correct,,"auto:Same entity, just dropping the article 'the'.",2026-05-04T07:32:02.740726+00:00,0,,,,,,,the Principles for Responsible Investment,Principles for Responsible Investment,612289519524-31,United Kingdom,"Non-governmental organisations, platforms and networks and similar",n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_733a0c2ad11ad7d6,correct,,"auto:Same German organisation, just dropping the legal suffix 'e.V.'.",2026-05-04T07:32:02.740726+00:00,0,,,,,,,Arbeitsgemeinschaft bäuerliche Landwirtschaft e. V.,Arbeitsgemeinschaft bäuerliche Landwirtschaft,497788298244-42,Germany,Trade unions and professional associations,n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_35f42ae3833c778a,correct,,auto:EARSC is the acronym for European Association of Remote Sensing Companies.,2026-05-04T07:32:02.740726+00:00,0,,,,,,,EARSC -the European Association of Remote Sensing Companies,European Association of Remote Sensing Companies,928649113568-51,Belgium,Trade and business associations,n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_e8619dc9a379c043,correct,,auto:Solar Heat Europe is the rebranded name of ESTIF; same entity.,2026-05-04T07:32:02.740726+00:00,0,,,,,,,Solar Heat Europe/ESTIF,Solar Heat Europe,10790718699-18,Belgium,Trade and business associations,n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_841a85262d596d26,correct,,"auto:Same federation, just word order swap in confectionery/patisserie.",2026-05-04T07:32:10.102711+00:00,0,,,,,,,"Federation of European Manufacturers and Suppliers of ingredients to the Bakery, Confectionery and Patisserie Industries","Federation of European manufacturers and suppliers of ingredients to the Bakery, Patisserie and Confectionery Industries",904362515084-73,Belgium,Trade and business associations,n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_a41310a6e16f2468,correct,,"auto:Same Irish organisation, only 'The' article differs.",2026-05-04T07:32:10.102711+00:00,0,,,,,,,The Irish Music Rights Organisation,Irish Music Rights Organisation,618210624509-68,Ireland,Companies & groups,n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_e25b7c21ef82a18f,correct,,"auto:Identical French federation, only casing/'&' vs 'ET' differ.",2026-05-04T07:32:10.102711+00:00,0,,,,,,,Fédération des Exportateurs de Vins & Spiritueux de France,FEDERATION DES EXPORTATEURS DE VINS ET SPIRITUEUX DE FRANCE,594644115227-04,France,Trade unions and professional associations,n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_00252cdc036ef4ee,correct,,"auto:Clear typo of Iberdrola, same Spanish company.",2026-05-04T07:32:10.102711+00:00,0,,,,,,,Iberdola,IBERDROLA,41816938101-07,Spain,Companies & groups,n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_e3c6195a1359582d,uncertain,,"auto:Names nearly identical but generic; could be a different think tank, hard to confirm.",2026-05-04T07:32:10.102711+00:00,0,,,,,,,Economic Policy Research Center,Economic Policy and Research Center,426822398856-87,Georgia,"Non-governmental organisations, platforms and networks and similar",n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_9dab5b5cccc2dadc,correct,,auto:Move EU is the acronym/brand of this association.,2026-05-04T07:32:10.102711+00:00,0,,,,,,,Move EU - The European Association of On-Demand Mobility,The European Association of On-Demand Mobility,284272451065-26,Belgium,"Non-governmental organisations, platforms and networks and similar",n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_670f616a5e02468a,correct,,auto:Stichting is the Dutch legal form of the same Fair Trade Advocacy Office.,2026-05-04T07:32:10.102711+00:00,0,,,,,,,fair trade advocacy office,Stichting Fair Trade Advocacy Office,860901940087-20,Netherlands,"Non-governmental organisations, platforms and networks and similar",n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_26241eedc749b2f0,correct,,auto:VDZ is the standard acronym for Verein Deutscher Zementwerke.,2026-05-04T07:32:10.102711+00:00,0,,,,,,,VDZ,Verein Deutscher Zementwerke e.V.,652634714887-86,Germany,Trade and business associations,n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_8ad856395b36b366,correct,,auto:Anticor is the French anti-corruption association referenced.,2026-05-04T07:32:10.102711+00:00,0,,,,,,,Anti COR,Association Anticor,871213939289-86,France,"Non-governmental organisations, platforms and networks and similar",n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_c8a602c0a735f0db,correct,,"auto:Same AESGP association, just rephrased word order.",2026-05-04T07:32:10.102711+00:00,0,,,,,,,European Self-Care Industry Association,Association of the European Self-Care Industry,99565011637-64,Belgium,Trade and business associations,n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_a1f458b957af518d,correct,,"auto:Same organisation, 'team' is extraneous.",2026-05-04T07:32:16.229992+00:00,0,,,,,,,European Aluminium team,European Aluminium AISBL,9224280267-20,Belgium,Trade unions and professional associations,n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_422c37f6cc45c2a7,correct,,"auto:Minor typo (Security/Securities), same federation.",2026-05-04T07:32:16.229992+00:00,0,,,,,,,Federation of European Security Exchanges,Federation of European Securities Exchanges,71488206456-23,Belgium,Trade and business associations,n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_f9a26bd6c4fbad2b,correct,,auto:Acronym EASPD matches full name.,2026-05-04T07:32:16.229992+00:00,0,,,,,,,European Association of Service providers for Persons with Disabilities EASPD,European Association of Service providers for Persons with Disabilities,120906010805-50,Belgium,"Non-governmental organisations, platforms and networks and similar",n/a (production decision),high,(production decision; reasoning not persisted),,organizations
,org,org_23f2ca0b135039a9,correct,,"auto:Same EEB, Brussels is location.",2026-05-04T07:32:16.229992+00:00,0,,,,,,,European Environmental Bureau Brussels,European Environmental Bureau,06798511314-27,Belgium,"Non-governmental organisations, platforms and networks and similar",n/a (production decision),high,(production decision; reasoning not persisted),,organizations
