stub_id,stub_name,tr_id,tr_name,tr_acronym,confidence,reasoning,action
org_28da923615a9195e,Permanent Representation of Finland,,,,prefiltered,Pre-filtered: matches 'Permanent Represent',skip
org_fd7027c8309c8d90,Ministry of Interior - Finland,,,,prefiltered,Pre-filtered: matches 'Ministry of',skip
org_50c3c494cb1527ea,Représentants United Nations Relief and Works Agency for Palestine Refugees in the Near East à Bruxelles,,,,prefiltered,Pre-filtered: matches 'United Nations',skip
org_e8905fbb3dfcd3ee,Local government of Turek,,,,prefiltered,Pre-filtered: matches 'government of',skip
org_ff4a6de912a1c674,Local government of Międzychód,,,,prefiltered,Pre-filtered: matches 'government of',skip
org_2d1af8e3e644c65a,"UNDP, EBRD and European Commission",,,,prefiltered,Pre-filtered: matches 'European Commission',skip
org_b207b2f71ff748d0,policy officers from European Parliamentary Forum for Sexual and Reproductive Rights,,,,prefiltered,Pre-filtered: matches 'European Parliament',skip
org_6469a14992639e82,"Sanna Marin, Minister of Transport and Communications, and team",,,,prefiltered,Pre-filtered: matches 'Minister of',skip
org_3f872530d2e0e7c1,Finnish Ministry of Justice,,,,prefiltered,Pre-filtered: matches 'Ministry of',skip
org_3f3f99924e04d74a,Permanent Representation of Bulgaria to the EU,,,,prefiltered,Pre-filtered: matches 'Permanent Represent',skip
org_1af844054eaa438b,Permanent representation of Romania to the EU,,,,prefiltered,Pre-filtered: matches 'Permanent represent',skip
org_15fa699dbde2452b,Permanent Representation of Lithuania to the EU,,,,prefiltered,Pre-filtered: matches 'Permanent Represent',skip
org_2b289554d557f1a5,Minister of Education,,,,prefiltered,Pre-filtered: matches 'Minister of',skip
org_2e9063acbd9bddaf,"Nereo Penalver Garcia, Member of the Cabinet of High Representative/Vice-President Josep Borrell European Commission",,,,prefiltered,Pre-filtered: matches 'European Commission',skip
org_cd773404d2fc4b8c,European Commission DEVCO,,,,prefiltered,Pre-filtered: matches 'European Commission',skip
org_2b7ea03ec1d7cdc2,UN Women Brussels Office,,,,prefiltered,Pre-filtered: matches 'UN',skip
org_0cdfa37ed422735a,President of the Workers' Group at the European Economic and Social Committee,,,,prefiltered,Pre-filtered: matches 'President of',skip
org_901bc7020ec3726c,Ministry of Internal Affairs Belarus,,,,prefiltered,Pre-filtered: matches 'Ministry of',skip
org_3e768904c6f0b7b0,Pakistani Mission to the EU/Embassy of Pakistan,,,,prefiltered,Pre-filtered: matches 'Embassy of',skip
org_545f9cf2ca2da095,EIB Permanent Representative in Brussels,,,,prefiltered,Pre-filtered: matches 'Permanent Represent',skip
org_76191a9d54f38dc6,United Nations Relief and Works Agency (UNRWA),,,,prefiltered,Pre-filtered: matches 'United Nations',skip
org_e06fc73aeac84025,Embassy of Norway to the EU,,,,prefiltered,Pre-filtered: matches 'Embassy of',skip
org_f9f25967d525922d,Embassy of Morocco to the EU and NATO,,,,prefiltered,Pre-filtered: matches 'Embassy of',skip
org_3b95bd7c59abc5b3,Italian Ministry of European Affairs,,,,prefiltered,Pre-filtered: matches 'Ministry of',skip
org_8df3a09cc55436b1,Government of the Balearic Islands,,,,prefiltered,Pre-filtered: matches 'Government of',skip
org_0d53474ae7cd0a2b,Government of Castile-La Mancha,,,,prefiltered,Pre-filtered: matches 'Government of',skip
org_d4f96ada156a76ea,Permanent Representation of the Republic of Cyprus,,,,prefiltered,Pre-filtered: matches 'Permanent Represent',skip
org_0877c7bae466da3f,Euclid Tsakalotos (former Finance Minister of Greece),,,,prefiltered,Pre-filtered: matches 'Minister of',skip
org_1a3e586270368383,Denmark Permanent Representation,,,,prefiltered,Pre-filtered: matches 'Permanent Represent',skip
org_5250c11fc39f5519,"Spanish Ministry of Inclusion, Social Security and Migrations",,,,prefiltered,Pre-filtered: matches 'Ministry of',skip
org_ee18f66fa14966f4,Malta permanent representation,,,,prefiltered,Pre-filtered: matches 'permanent represent',skip
org_dd775cc70a840f0c,Permanent Representative of Italy to the EU,,,,prefiltered,Pre-filtered: matches 'Permanent Represent',skip
org_b481a21c195805c1,Sedish Minister of Trade Anna Hallberg,,,,prefiltered,Pre-filtered: matches 'Minister of',skip
org_48ee7cb55159056d,EU Counsel to the Government of Gibraltar,,,,prefiltered,Pre-filtered: matches 'Government of',skip
org_2036a4efad657703,Embassy of Kazhhstan,,,,prefiltered,Pre-filtered: matches 'Embassy of',skip
org_272b9d7e896648d5,Committee of the Regions,,,,prefiltered,Pre-filtered: matches 'Committee of the Regions',skip
org_5bf90462cc305ab3,European Commission – DG NEAR,,,,prefiltered,Pre-filtered: matches 'European Commission',skip
org_d08d4c8f09210560,Embassy of Iran,,,,prefiltered,Pre-filtered: matches 'Embassy of',skip
org_5d8480fe3cfeb6c4,Croatian Permanent Representation to the EU,,,,prefiltered,Pre-filtered: matches 'Permanent Represent',skip
org_5a4e800b4a88f595,President of WAVE,,,,prefiltered,Pre-filtered: matches 'President of',skip
org_c19bb91f39ef2de1,Permanent Representation of the Federal Republic of Germany,,,,prefiltered,Pre-filtered: matches 'Permanent Represent',skip
org_e2b88447e4daa0dc,Mayor of the Municipality of Famagusta,,,,prefiltered,Pre-filtered: matches 'Municipalit',skip
org_758752f5e1930ffe,President of Lombardy Region,,,,prefiltered,Pre-filtered: matches 'President of',skip
org_79af755288ffe4c9,"Timo Harakka, minister of transportation and communication of Finland",,,,prefiltered,Pre-filtered: matches 'minister of',skip
org_a662fbcba9fa9bb7,"PO, CZ, SL & SK Permanent Representations to the EU",,,,prefiltered,Pre-filtered: matches 'Permanent Represent',skip
org_367b6905d72e77dc,Swedish west coast municipalities,,,,prefiltered,Pre-filtered: matches 'municipalit',skip
org_0f24ceb1b77c8bee,"Finnish Council Presidency - Terrorism Working Party, Ministry of the Interior",,,,prefiltered,Pre-filtered: matches 'Ministry of',skip
org_7cefab07f0211290,Breakfast with Prime Minister of France,,,,prefiltered,Pre-filtered: matches 'Minister of',skip
org_9950b4844e033196,European Commission VP-designate Margaritis Schinas,,,,prefiltered,Pre-filtered: matches 'European Commission',skip
org_992774b20f0e0177,"Rocío Ruiz Domínguez, Consejera de Igualdad, Políticas Sociales y Conciliación (Regional Government of Andalusia)",,,,prefiltered,Pre-filtered: matches 'Government of',skip
org_dc5cd0cd30e76ba0,UK Permanent Representation to the EU,,,,prefiltered,Pre-filtered: matches 'Permanent Represent',skip
org_b80c56816f1443e7,Assistant Foreign Minister of the Kingdom of Bahrain,,,,prefiltered,Pre-filtered: matches 'Minister of',skip
org_a1ba8fcbb873e5f8,Representatives of Finnish Ministry of Finance,,,,prefiltered,Pre-filtered: matches 'Ministry of',skip
org_7ae0e9d1407e0807,Embassy of the Republic of Kazakhstan,,,,prefiltered,Pre-filtered: matches 'Embassy of',skip
org_0a3decc84223b1e8,The Council of European Municipalities and Regions,,,,prefiltered,Pre-filtered: matches 'Municipalit',skip
org_19f7857a5e41a7c5,German Permanent Representation EU,,,,prefiltered,Pre-filtered: matches 'Permanent Represent',skip
org_c22feb9a50664e0e,Foreign minister of the Republic of Moldova,,,,prefiltered,Pre-filtered: matches 'minister of',skip
org_a81291a649186b08,Attache Permanent Representation of the Netherlands,,,,prefiltered,Pre-filtered: matches 'Permanent Represent',skip
org_cf43168bedb84daa,Regional Government of Canary Islands,,,,prefiltered,Pre-filtered: matches 'Government of',skip
org_36ac33fad3dd1b97,Cuban Ministry of Foreign Affairs,,,,prefiltered,Pre-filtered: matches 'Ministry of',skip
org_d39baed4007195d6,German Federal Ministry of Justice,,,,prefiltered,Pre-filtered: matches 'Ministry of',skip
org_3b74ebfcc536a0cc,German Ministry of the Interior,,,,prefiltered,Pre-filtered: matches 'Ministry of',skip
org_6a65c1275798d3ac,FAO - Food and Agriculture Organization of the United Nations,,,,prefiltered,Pre-filtered: matches 'United Nations',skip
org_e90f5c1f5c3dff79,Finnish Presidency of the Council of the European Union,,,,prefiltered,Pre-filtered: matches 'Council of the Eu',skip
org_180b275a2835e52f,Polish Ministry of Digital Affairs,,,,prefiltered,Pre-filtered: matches 'Ministry of',skip
org_cb70ba8501a90e69,Permanent Representation of France,,,,prefiltered,Pre-filtered: matches 'Permanent Represent',skip
org_293be55dd7be0298,Minister of Agriculture Lower Saxony,,,,prefiltered,Pre-filtered: matches 'Minister of',skip
org_5e8ab7825ac61b38,"Supervisory Board, European Central Bank (SSM)",,,,prefiltered,Pre-filtered: matches 'European Central Bank',skip
org_6c379a6332afdca2,Local government of Poznań,,,,prefiltered,Pre-filtered: matches 'government of',skip
org_965c0092187c4cb5,President of the Saudi Human Rights Commission,,,,prefiltered,Pre-filtered: matches 'President of',skip
org_78c36a333e1c850a,Croatian Permanent Representation,,,,prefiltered,Pre-filtered: matches 'Permanent Represent',skip
org_ddcb50ddb159c8db,Permanent Representation of the Federal Republic of Germany to the EU,,,,prefiltered,Pre-filtered: matches 'Permanent Represent',skip
org_eb006029a2f732f8,Permanent Representation of the United Kingdom to the EU,,,,prefiltered,Pre-filtered: matches 'Permanent Represent',skip
org_a17cbcc026e6f649,Maltese Permanent Representation to the EU,,,,prefiltered,Pre-filtered: matches 'Permanent Represent',skip
org_c9b637ee89811b6d,UN Forum on Business and human rights,,,,prefiltered,Pre-filtered: matches 'UN',skip
org_e3955c217028c919,Estonian permanent representation,,,,prefiltered,Pre-filtered: matches 'permanent represent',skip
org_7df9a548af21270e,Embassy of Taiwan,,,,prefiltered,Pre-filtered: matches 'Embassy of',skip
org_edafb31fe8ed527d,State Minister of Georgia for Reconciliation and Civic Equality,,,,prefiltered,Pre-filtered: matches 'Minister of',skip
org_77bd66d36745a655,Ministry of the Environment and Climate Change,,,,prefiltered,Pre-filtered: matches 'Ministry of',skip
org_6d594e54042e7737,Minister of the Environment and Climate Change,,,,prefiltered,Pre-filtered: matches 'Minister of',skip
org_44cbb40404368d45,Municipality of Kerkrade officials,,,,prefiltered,Pre-filtered: matches 'Municipalit',skip
org_278466d33e2f9d27,European Commission (CLIMATE DG),,,,prefiltered,Pre-filtered: matches 'European Commission',skip
org_8abde574c4d41101,Government of the region of Madrid,,,,prefiltered,Pre-filtered: matches 'Government of',skip
org_bb81a12f4bfb80e2,"European Commission, Directorate-General for External Policies of the Union",,,,prefiltered,Pre-filtered: matches 'European Commission',skip
org_41d64f8e25719db1,"European Commission, DG NEAR",,,,prefiltered,Pre-filtered: matches 'European Commission',skip
org_bdf56dc45fe16837,Embassy of Saudi Arabia,,,,prefiltered,Pre-filtered: matches 'Embassy of',skip
org_4c882da19124d016,Director Trade UK Permanent Representation,,,,prefiltered,Pre-filtered: matches 'Permanent Represent',skip
org_239cec1f73047b12,Local government of Konin,,,,prefiltered,Pre-filtered: matches 'government of',skip
org_6914d1c44b9051c6,President of the Human Rights Commission of the Kingdom of Saudi Arabia,,,,prefiltered,Pre-filtered: matches 'President of',skip
org_cb505594c55a19f1,"Spanish Ministry of Transport, Mobility and Urban Agenda",,,,prefiltered,Pre-filtered: matches 'Ministry of',skip
org_663c8c64ec9b98b5,President of the Commission on Health and Sports from the National Assembly of People's Power,,,,prefiltered,Pre-filtered: matches 'President of',skip
org_71dd8442005bacef,"Manuel Neto Pinto, Head of division Mandate development - European Investment Bank",,,,prefiltered,Pre-filtered: matches 'European Investment Bank',skip
org_76b9632d6e6a52ec,Financial Policy Team of Permanent Representation of the Slovak Republic to the EU,,,,prefiltered,Pre-filtered: matches 'Permanent Represent',skip
org_ffa3e7ee4b42e919,European Commission - Cabinet Gentiloni -,,,,prefiltered,Pre-filtered: matches 'European Commission',skip
org_4b036cf242e2f7f5,Un patron-pêcheur de la Ciotat,,,,prefiltered,Pre-filtered: matches 'Un',skip
org_11ba010a8f13d2b7,Embassy of Vietnam,,,,prefiltered,Pre-filtered: matches 'Embassy of',skip
org_3a28823c2fc49866,Permanent Representation of Croatia,,,,prefiltered,Pre-filtered: matches 'Permanent Represent',skip
org_5573cd6840bbf3b8,United Nations World Food Programme,,,,prefiltered,Pre-filtered: matches 'United Nations',skip
org_d60ef866eecb76fe,United Nations Office for Disaster Risk Reduction,,,,prefiltered,Pre-filtered: matches 'United Nations',skip
org_dc5fe18cc162ade8,"French Ministry of Higher Education, Research and Innovation",,,,prefiltered,Pre-filtered: matches 'Ministry of',skip
org_460cc260a01016c5,Austrian Ministry of Justice,,,,prefiltered,Pre-filtered: matches 'Ministry of',skip
org_ebbb36082dd76f16,European office of the German association of Towns and Municipalities,,,,prefiltered,Pre-filtered: matches 'Municipalit',skip
org_a46b9fc68edca147,United Nations Environment Programme,,,,prefiltered,Pre-filtered: matches 'United Nations',skip
org_41d9cb76b13edadb,Representation of the Free State of Bavaria – Bavarian Ministry of Digital Affairs,,,,prefiltered,Pre-filtered: matches 'Ministry of',skip
org_62bc1afe177fede2,Embassy of the Republic of Kosovo in Brussels,,,,prefiltered,Pre-filtered: matches 'Embassy of',skip
org_7709c1344d3f5a41,Permanent Representation of Baden-Württemberg,,,,prefiltered,Pre-filtered: matches 'Permanent Represent',skip
org_e11b6a61e9ea4679,Embassy of New Zealand to Belgium and the EU,,,,prefiltered,Pre-filtered: matches 'Embassy of',skip
org_9355d8f8fb7f4ab4,Netherlands Ministry of Health,,,,prefiltered,Pre-filtered: matches 'Ministry of',skip
org_e41e6453de51289a,Head of the European Commission's DG MARE,,,,prefiltered,Pre-filtered: matches 'European Commission',skip
org_01ae7248b59d48aa,Council of European Municipalities and Regions (CEMR),,,,prefiltered,Pre-filtered: matches 'Municipalit',skip
org_b1d5d70fd9c6006c,European Commission - Relations with European Parliament & Consultative Committees,,,,prefiltered,Pre-filtered: matches 'European Commission',skip
org_ba1790a56a506a9f,"World Bank, International Monetary Fund",,,,prefiltered,Pre-filtered: matches 'World Bank',skip
org_f6f35bca6d87ec5e,"Spanish Ministry of Foreign Affairs, European Union and Cooperation",,,,prefiltered,Pre-filtered: matches 'Ministry of',skip
org_22e81276a98672de,"European Commission, DG Internal Market, Industry, Entrepreneurship and SMEs",,,,prefiltered,Pre-filtered: matches 'European Commission',skip
org_6e12b1b8f213c332,United Nations Association,,,,prefiltered,Pre-filtered: matches 'United Nations',skip
org_e821a6f20c3fff6e,Permanent representative of the state of Hamburg to the EU,,,,prefiltered,Pre-filtered: matches 'Permanent represent',skip
org_8389c90734201c50,THE PERMANENT REPRESENTATION OF DENMARK TO THE EU,,,,prefiltered,Pre-filtered: matches 'PERMANENT REPRESENT',skip
org_a7473dea58e5a8c8,Meeting with Deputy Secretary-General of the United Nations Conference on Trade and Development,,,,prefiltered,Pre-filtered: matches 'United Nations',skip
org_95cc0a3e99b391c1,Government of Vietnam,,,,prefiltered,Pre-filtered: matches 'Government of',skip
org_b4780c0408a5ba5e,Permanent Representation of Germany to the European Union,,,,prefiltered,Pre-filtered: matches 'Permanent Represent',skip
org_759fcb91f13f96fa,Deputy Minister of Foreign Affairs Vietnam,,,,prefiltered,Pre-filtered: matches 'Minister of',skip
org_4939ca481f526b39,"Pakistan Ministry of Commerce, textiles, Industry & Production and Investment",,,,prefiltered,Pre-filtered: matches 'Ministry of',skip
org_94e5db77a3d0a4f0,Czech Ministry of Labour and Social Affairs,,,,prefiltered,Pre-filtered: matches 'Ministry of',skip
org_40d14d8307062fae,"Heike Gerstbrein, European Commission Service for Foreign Policy Instruments (FPI)",,,,prefiltered,Pre-filtered: matches 'European Commission',skip
org_52bc93ef1af9b722,Government of Jamaica/European Union Visitors Programme,,,,prefiltered,Pre-filtered: matches 'Government of',skip
org_f960b08941bdf319,Permanent Representation of the Czech Republic,,,,prefiltered,Pre-filtered: matches 'Permanent Represent',skip
org_ce3237f34543c723,RO Permanent Representation Head of Unit Justice - Coordination Justice,,,,prefiltered,Pre-filtered: matches 'Permanent Represent',skip
org_e083241648611ac7,European Parliament Youth Delegate Program,,,,prefiltered,Pre-filtered: matches 'European Parliament',skip
org_0413aed30b4b00b2,Permanent Representation of Croatia to the European Union,,,,prefiltered,Pre-filtered: matches 'Permanent Represent',skip
org_9e1c6ec1173299cd,President of the Chamber of Representatives,,,,prefiltered,Pre-filtered: matches 'President of',skip
org_445b17589c0058fa,Federal Chancellery of Germany and the Permanent Representation of the Federal Republic of Germany to the European Union,,,,prefiltered,Pre-filtered: matches 'Permanent Represent',skip
org_0a4e91b0c53b49dc,Swedish Minister of Infrastructure,,,,prefiltered,Pre-filtered: matches 'Minister of',skip
org_2aba9c865be14cd4,Finnish Ministry of communications and transport / Maria Rautavirta,,,,prefiltered,Pre-filtered: matches 'Ministry of',skip
org_1b66e8e68e736028,Deputy Prime Minister and Minister of the Interior,,,,prefiltered,Pre-filtered: matches 'Minister of',skip
org_482053f460403f56,"Valdis Dombrovskis, Vice-President European Commission",,,,prefiltered,Pre-filtered: matches 'European Commission',skip
org_38d5e2d96979021c,"Olivér Várhelyi, European Commissioner for European Neighbourhood Policy and Enlargement Negotiations",,,,prefiltered,Pre-filtered: matches 'European Commission',skip
org_eb3c32ff9d5416b4,"Benedek Javor, Municipality of Budapest - Brussels Representation 869503829669-42",,,,prefiltered,Pre-filtered: matches 'Municipalit',skip
org_2a5ffde93b3f32b5,Permanent Representation of Poland,,,,prefiltered,Pre-filtered: matches 'Permanent Represent',skip
org_df1d9275f3b10ea7,Mexican Ministry of Economy,,,,prefiltered,Pre-filtered: matches 'Ministry of',skip
org_dbac814c3b015a2d,Mexican Ministry of Foreign Affairs,,,,prefiltered,Pre-filtered: matches 'Ministry of',skip
org_13c1daff4a63310e,Mexican Ministry of Interior,,,,prefiltered,Pre-filtered: matches 'Ministry of',skip
org_e78cd3b49463d79d,Palestine Ministry of Foreign Affairs,,,,prefiltered,Pre-filtered: matches 'Ministry of',skip
org_7b04ddbdfcb9ebe0,Spanish Minister of Foreign Affairs,,,,prefiltered,Pre-filtered: matches 'Minister of',skip
org_176530e428b3f964,The German Ministry of State for Europe,,,,prefiltered,Pre-filtered: matches 'Ministry of',skip
org_415359966fc1706e,Embassy of Israel to Belgium,,,,prefiltered,Pre-filtered: matches 'Embassy of',skip
org_0454879ca6c10121,"Deputy Permanent Representative, Permanent Representation of Germany to the EU",,,,prefiltered,Pre-filtered: matches 'Permanent Represent',skip
org_744739c3c03b68a3,"Office of the Permanent Representative, European Investment Bank",,,,prefiltered,Pre-filtered: matches 'Permanent Represent',skip
org_9431c3e2d65f866e,"Permanent Representation of France in EU, AGRI team",,,,prefiltered,Pre-filtered: matches 'Permanent Represent',skip
org_32949943d4e15976,First Deputy Minister of Foreign Affairs of Viet Nam,,,,prefiltered,Pre-filtered: matches 'Minister of',skip
